#,Company_Name,Aktenzeichen,Date_Incorporation,CMP_Status,Amtsgericht,Street,Postcode,City,Industry,WZ2008,Startup_Website,LinkedIn_URL,Crunchbase_URL,Northdata_URL,Comment,Founding_Team_Size
30,AVAILY AG,HRB 34925,2021-12-28,A,Duisburg,Philosophenweg 61,D-47051,Duisburg,Immobilien,62,,https://www.linkedin.com/company/availy-ag,,,,0
31,grammar bricks GmbH,HRB 34588,2021-12-28,A,Chemnitz,"c/o plus H GmbH & Co. KG, Ahornstraße 59",D-08525,Plauen,Bildung,32,http://grammarbricks.de/,,,,,0
32,Njord GmbH,HRB 25410,2021-12-28,A,Aachen,Boxgraben 124,D-52064,Aachen,Mobilität,27,,,,,,0
33,SECRET MAGIC GmbH,HRB 54318,2021-12-28,A,Offenbach am Main,Vordergasse 57,D-63110,Rodgau,eCommerce,32,https://secret-magic-store.de/,,,,,0
34,The Power for Future UG (haftungsbeschränkt),HRB 206157,2021-12-28,A,Aurich,Uttumer Reihe 8,D-26721,Emden,Energie,28,http://powerforfuture.de/,,,,,0
35,AppsForOrgs Software UG (haftungsbeschränkt),HRB 742432,2021-12-27,A,Mannheim,Klausenpfad 19,D-69121,Heidelberg,Software,62,,,,,,0
36,detective.solutions GmbH,HRB 95919,2021-12-27,A,Düsseldorf,Fleher Straße 32,D-40223,Düsseldorf,Software,62,http://www.detective.solutions/,https://www.linkedin.com/company/detective-solutions/,,,,0
37,Griffig Robotics GmbH,HRB 33070,2021-12-27,A,Essen,"c/o Berscheid, Sperberweg 11",D-45527,Hattingen,Industrie,62,,,,,,0
38,GröGo Gemüseabo GmbH,HRB 22064 HL,2021-12-27,A,Lübeck,Theaterplatz 1,D-23909,Ratzeburg,Lebensmittel,47,https://www.grögo.de/,,,,,0
39,Iteration One GmbH,HRB 742420,2021-12-27,A,Mannheim,Ludwig-Erhard-Allee 34,D-76131,Karlsruhe,Software,62,,,,,,0
40,Kinus GmbH,HRB 20614,2021-12-27,A,Moenchengladbach,Tomphecke 60,D-41169,Mönchengladbach,Software,62,,,,,,0
41,Layover Solutions GmbH,HRB 125847,2021-12-27,A,Frankfurt am Main,Bessie-Coleman-Straße 7,D-60549,Frankfurt am Main,Tourismus,62,https://layoversolutions.com/,https://www.linkedin.com/company/layoversolutions/,,,,0
42,Native Technology Education GmbH,HRB 237065 B,2021-12-27,A,Charlottenburg (Berlin),"c/o Factory Works GmbH, Rheinsberger Straße 76/77",D-10115,Berlin,Bildung,62,https://getnate.io/,https://www.linkedin.com/company/getnate/,,,,0
43,NClip Collectibles UG (haftungsbeschränkt),HRB 108807,2021-12-27,A,Köln,Platanenweg 26,D-51491,Overath,Blockchain / Crypto,62,http://nclip.io/,,,,,0
44,ProductionPool GmbH,HRB 172849,2021-12-27,A,Hamburg,Alter Wall 69,D-20457,Hamburg,Personal,78,,,,,,0
45,SenCircle GmbH,HRB 30768,2021-12-27,A,Stendal,Mansfelder Straße 56,D-06108,Halle (Saale),Dienstleistung,62,,https://www.linkedin.com/company/sencircle-gmbh/,,,,0
46,STAI GmbH,HRB 782608,2021-12-27,A,Stuttgart,Schnellweg 5,D-70199,Stuttgart,Umwelttechnologie,62,https://stai.global/,,,,,0
47,United Food Kits GmbH,HRB 172865,2021-12-27,A,Hamburg,Stresemannstraße 42,D-22769,Hamburg,Lebensmittel,82,https://unitedfoodkits.de/,,,,,0
48,Valkental GmbH,HRB 95926,2021-12-27,A,Düsseldorf,Rheinpromenade 9,D-40789,Monheim am Rhein,Mobilität,32,https://valkental.de/,https://www.linkedin.com/company/valkental,,,,0
