name_x;name_y;CoInvestments
A06 Ventures UG (haftungsbeschrankt);Black Solitaire Ventures GmbH;1
A06 Ventures UG (haftungsbeschrankt);Blue Unicorn Ventures GmbH;1
A06 Ventures UG (haftungsbeschrankt);CAMI Ventures UG (haftungsbeschrankt);1
A06 Ventures UG (haftungsbeschrankt);DN Capital - Global Venture Capital V SCSp;1
A06 Ventures UG (haftungsbeschrankt);Einhorn Capital GmbH;1
A06 Ventures UG (haftungsbeschrankt);Emerge Venture Partners | LP;1
A06 Ventures UG (haftungsbeschrankt);FJ Labs Entrepreneurs Fund 2022, eine Serie von FJ Labs Funds, LP;1
A06 Ventures UG (haftungsbeschrankt);FJ Labs Ill, LP;1
A06 Ventures UG (haftungsbeschrankt);Franziska Steiner Ventures UG (haftungsbeschrankt);1
A06 Ventures UG (haftungsbeschrankt);G-Fund Invest | GmbH & Co. KG;1
A06 Ventures UG (haftungsbeschrankt);Grunwald, Landkreis Miinchen / Griinwald, District Mu- n;1
A06 Ventures UG (haftungsbeschrankt);JJL Invest UG (haftungsbeschrankt);1
A06 Ventures UG (haftungsbeschrankt);Kupke GmbH;1
A06 Ventures UG (haftungsbeschrankt);Pausder Ventures GmbH;1
A06 Ventures UG (haftungsbeschrankt);Roppel Beteiligungs UG (haftungsbeschrankt);1
A06 Ventures UG (haftungsbeschrankt);Tengelmann Ventures Fund VI GmbH;1
A06 Ventures UG (haftungsbeschrankt);btov Digital Technologies li S.C.S., SICAR;1
A06 Ventures UG (haftungsbeschrankt);inventhie GmbH;1
A06 Ventures UG (haftungsbeschrankt);playfull GmbH;1
A3ZLF Biovectis UG;Dr. Teresa Aurelia Krabbe;1
A3ZLF Biovectis UG;PYLORIX GmbH;1
A3ZLF Biovectis UG;TherOVex UG;1
AB1204 Verwaltungs GmbH;ABACON Invest GmbH;1
AB1204 Verwaltungs GmbH;Alvio GmbH;1
AB1204 Verwaltungs GmbH;BASHE Invest UG (haftungsbeschrankt);1
AB1204 Verwaltungs GmbH;ENKRAFT VENTURE.partners AG;1
AB1204 Verwaltungs GmbH;ENPAL B.V.;1
AB1204 Verwaltungs GmbH;Entrix GmbH;1
AB1204 Verwaltungs GmbH;GV Avente LLC;1
AB1204 Verwaltungs GmbH;KRAFTWERK.ventures AG;1
AB1204 Verwaltungs GmbH;Kleinschulz Invest UG (haftungsbeschrankt);1
AB1204 Verwaltungs GmbH;Lars Lohie;1
AB1204 Verwaltungs GmbH;Lino GmbH;1
AB1204 Verwaltungs GmbH;Martin Siddiqui;1
AB1204 Verwaltungs GmbH;PK Projects GmbH;1
AB1204 Verwaltungs GmbH;Pelion Energy Holding GmbH;1
AB1204 Verwaltungs GmbH;Philipp Trocha;1
AB1204 Verwaltungs GmbH;Raeecuniel;1
AB1204 Verwaltungs GmbH;Sebastian Schuon Investments GmbH;1
AB1204 Verwaltungs GmbH;Sébastien Schikora;1
AB1204 Verwaltungs GmbH;Valluga Capital GmbH;1
AB1204 Verwaltungs GmbH;Wolfgang Ridinger;1
ABACON CAPI-TAL GmbH;468 Capital GmbH & Co. KG;1
ABACON CAPI-TAL GmbH;Bad Evil Rubber AG;1
ABACON CAPI-TAL GmbH;CBES Ventures UG (haftungsbeschränkt);1
ABACON CAPI-TAL GmbH;Dr. Susanne Bettina Maria Weiss;1
ABACON CAPI-TAL GmbH;Ducky Investments UG (haftungsbeschränkt);1
ABACON CAPI-TAL GmbH;Esrae Khalawi Alolaya;1
ABACON CAPI-TAL GmbH;Saxtan GmbH;1
ABACON CAPI-TAL GmbH;TAL GmbH;1
ABACON CAPI-TAL GmbH;TKrauss Private Equity Investments GmbH;1
ABACON CAPI-TAL GmbH;Vsquared Ventures GmbH & Co. KG;1
ABACON Invest GmbH;AB1204 Verwaltungs GmbH;1
ABACON Invest GmbH;Alvio GmbH;1
ABACON Invest GmbH;BASHE Invest UG (haftungsbeschrankt);1
ABACON Invest GmbH;ENKRAFT VENTURE.partners AG;1
ABACON Invest GmbH;ENPAL B.V.;1
ABACON Invest GmbH;Entrix GmbH;1
ABACON Invest GmbH;GV Avente LLC;1
ABACON Invest GmbH;KRAFTWERK.ventures AG;1
ABACON Invest GmbH;Kleinschulz Invest UG (haftungsbeschrankt);1
ABACON Invest GmbH;Lars Lohie;1
ABACON Invest GmbH;Lino GmbH;1
ABACON Invest GmbH;Martin Siddiqui;1
ABACON Invest GmbH;PK Projects GmbH;1
ABACON Invest GmbH;Pelion Energy Holding GmbH;1
ABACON Invest GmbH;Philipp Trocha;1
ABACON Invest GmbH;Raeecuniel;1
ABACON Invest GmbH;Sebastian Schuon Investments GmbH;1
ABACON Invest GmbH;Sébastien Schikora;1
ABACON Invest GmbH;Valluga Capital GmbH;1
ABACON Invest GmbH;Wolfgang Ridinger;1
ABsolution Holding UG (haftungsbeschrankt);Gesellschaft UG (haftungsbeschrankt);1
ABsolution Holding UG (haftungsbeschrankt);MBischoff Holding UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;A06 Ventures UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;ARES CAPITAL ADVISERS GmbH;1
AENU Fund SCA SICAV-RAIF;Alberti Innovation UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;Antonio Mesquida Kiisters;1
AENU Fund SCA SICAV-RAIF;Aurum Impact Invest GmbH;1
AENU Fund SCA SICAV-RAIF;Begemann Capital GmbH;1
AENU Fund SCA SICAV-RAIF;Benjamin Drury;1
AENU Fund SCA SICAV-RAIF;Black Solitaire Ventures GmbH;1
AENU Fund SCA SICAV-RAIF;Blue Unicorn Ventures GmbH;1
AENU Fund SCA SICAV-RAIF;CAMI Ventures UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;DN Capital - Global Venture Capital V SCSp;1
AENU Fund SCA SICAV-RAIF;Dastore FPCI;1
AENU Fund SCA SICAV-RAIF;Einhorn Capital GmbH;1
AENU Fund SCA SICAV-RAIF;Emerge Venture Partners | LP;1
AENU Fund SCA SICAV-RAIF;Eyiny Ventures AS;1
AENU Fund SCA SICAV-RAIF;FJ Labs Entrepreneurs Fund 2022, eine Serie von FJ Labs Funds, LP;1
AENU Fund SCA SICAV-RAIF;FJ Labs Ill, LP;1
AENU Fund SCA SICAV-RAIF;Franziska Steiner Ventures UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;G-Fund Invest | GmbH & Co. KG;1
AENU Fund SCA SICAV-RAIF;Gabor Cselle;1
AENU Fund SCA SICAV-RAIF;Green Doostdar Solutions UG;1
AENU Fund SCA SICAV-RAIF;Grunwald, Landkreis Miinchen / Griinwald, District Mu- n;1
AENU Fund SCA SICAV-RAIF;Helen Oy;1
AENU Fund SCA SICAV-RAIF;Hilmar Arnholdt;1
AENU Fund SCA SICAV-RAIF;JJL Invest UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;Keith Sauvant;1
AENU Fund SCA SICAV-RAIF;Kupke GmbH;1
AENU Fund SCA SICAV-RAIF;Michael Lowak;1
AENU Fund SCA SICAV-RAIF;Mountain Peak Ventures GmbH;1
AENU Fund SCA SICAV-RAIF;PT1 Early-Stage Fund Il GmbH & Co. KG;1
AENU Fund SCA SICAV-RAIF;Pausder Ventures GmbH;1
AENU Fund SCA SICAV-RAIF;Roppel Beteiligungs UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;Stephan Fritz;1
AENU Fund SCA SICAV-RAIF;Tatii UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;Tengelmann Ventures Fund VI GmbH;1
AENU Fund SCA SICAV-RAIF;Utopian Ventures GmbH;1
AENU Fund SCA SICAV-RAIF;Vesta Venture Holding GmbH;1
AENU Fund SCA SICAV-RAIF;Yokoyama Ventures UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;btov Digital Technologies li S.C.S., SICAR;1
AENU Fund SCA SICAV-RAIF;buzzjective UG (haftungsbeschrankt);1
AENU Fund SCA SICAV-RAIF;inventhie GmbH;1
AENU Fund SCA SICAV-RAIF;playfull GmbH;1
AENU Fund SCA SICAV-RAIF;twentythree Holding UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);10K Ventures OU;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);24S.ar.l.;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);ALSP20 L.L.C.;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Anda Capital Partners Ltd.;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Arthur Gerigk;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Bruce Wallace;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Calm Storm 1 EuVECA GmbH & Co. KG;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Cherry Ventures Fund III GmbH & Co. KG;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Cristobal Conde;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);DKCI UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Discovery Ventures II] GmbH & Co. KG;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Dr. Axel Wieandt;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Dr. Jan Kemper GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Dr. Tim Jens Christian Odendahl;1
