startup_id;startup_name;date_incorporated;register_identification_number;register;startup_location;startup_industry;startup_website;startup_linkedin;Unnamed: 9;Unnamed: 10;shareholder_json;list_mds;number_shareholders;number_angels;startup_purpose;link_shareholder_file_2021;register_mapping;startup_industry_mapped;azure_json;error;link_structured_content_file_current;link_SI_file_current;azure_json_2021;shareholder_json_2021
16860;circular.fashion UG (haftungsbeschränkt);2018-04-05;HRB 195158 B;Charlottenburg (Berlin);Berlin;Software;https://circular.fashion/;;11214.0;;;;;;;;;;;;;;;
16861;Frau Kettner UG (haftungsbeschränkt);2018-04-05;HRB 195180 B;Charlottenburg (Berlin);Wolfertschwenden;eCommerce;https://fraukettner.de;;11217.0;;;;;;;;;;;;;;;
16862;Inkborne Tales UG (haftungsbeschränkt);2018-04-04;HRB 9830;Königstein;Kelkheim (Taunus);Gaming;;;11229.0;;;;;;;;;;;;;;;
16863;Gold & Lumber Games UG (haftungsbeschränkt);2018-04-03;HRB 150956;Hamburg;Hamburg;Gaming;https://hellfirefortress.com/;;11239.0;;;;;;;;;;;;;;;
16864;taxtastic UG (haftungsbeschränkt);2018-04-03;HRB 195018 B;Charlottenburg (Berlin);Berlin;Finanzbereich;https://taxtastic.de/;;11244.0;;;;;;;;;;;;;;;
16865;Avere Solutions UG (haftungsbeschränkt);2018-03-30;HRB 16752;Fürth;Erlangen;Hardware;https://de.avere-solutions.com;;11245.0;;;;;;;;;;;;;;;
16866;Goatee Avengers UG (haftungsbeschränkt);2018-03-30;HRB 240031;München;Freising;Gaming;https://drunkenwizardsapp.com;;11249.0;;;;;;;;;;;;;;;
16867;VaDok UG (haftungsbeschränkt);2018-03-29;HRB 26851;Traunstein;Rosenheim;Software;https://vadok.de;;11258.0;;;;;;;;;;;;;;;
16868;VidSplit UG (haftungsbeschränkt);2018-03-29;HRB 150939;Hamburg;Hamburg;Software;;;11259.0;;;;;;;;;;;;;;;
16869;Expert Sieve UG (haftungsbeschränkt);2018-03-28;HRB 34745;Leipzig;Markkleeberg;Personal;https://www.fyltura.de;;11263.0;;;;;;;;;;;;;;;
16870;odk.design UG (haftungsbeschränkt);2018-03-28;HRB 764568;Stuttgart;Weissach;eCommerce;https://www.odk.design;;11264.0;;;;;;;;;;;;;;;
16871;Apex Aerospace UG (haftungsbeschränkt);2018-03-27;HRB 730068;Mannheim;Straubenhardt;Mobilität;http://apex-aerospace.de;;11267.0;;;;;;;;;;;;;;;
16872;Prozeo UG (haftungsbeschränkt);2018-03-26;HRB 21920;Aachen;Aachen;Bauwesen;;;11276.0;;;;;;;;;;;;;;;
16873;reXch Recyclables Exchange UG (haftungsbeschränkt);2018-03-26;HRB 194826 B;Charlottenburg (Berlin);Berlin;Industrie;;;11278.0;;;;;;;;;;;;;;;
16874;labooyo UG (haftungsbeschränkt);2018-03-23;HRB 19753;Neuss;Korschenbroich;Dienstleistung;https://labooyo.de;;11288.0;;;;;;;;;;;;;;;
16875;Veedel Distillers UG (haftungsbeschränkt);2018-03-23;HRB 16722;Krefeld;Kempen;Lebensmittel;https://www.linden-gin.com;;11292.0;;;;;;;;;;;;;;;
16876;FROGO AD UG (haftungsbeschränkt);2018-03-22;HRB 194759 B;Charlottenburg (Berlin);Berlin;Werbung;https://www.frogo-ad.com/;;11295.0;;;;;;;;;;;;;;;
16877;GFC Green Finance Solutions UG (haftungsbeschränkt);2018-03-22;HRB 150834;Hamburg;Hamburg;Finanzbereich;https://rebelvest.com/;;11296.0;;;;;;;;;;;;;;;
16878;Hilfy UG (haftungsbeschränkt);2018-03-21;HRB 194712 B;Charlottenburg (Berlin);Berlin;Dienstleistung;https://hilfy.de/;;11303.0;;;;;;;;;;;;;;;
16879;UpCandle UG (haftungsbeschränkt);2018-03-21;HRB 194639 B;Charlottenburg (Berlin);Berlin;eCommerce;https://upcandle.de;;11311.0;;;;;;;;;;;;;;;
16880;Fine Yellow UG (haftungsbeschränkt);2018-03-20;HRB 194615 B;Charlottenburg (Berlin);Berlin;eCommerce;https://www.fineyellow.com;;11317.0;;;;;;;;;;;;;;;
16881;SiQAl UG (haftungsbeschränkt);2018-03-20;HRB 194496 B;Charlottenburg (Berlin);Berlin;Umwelttechnologie;https://siqal.de;;11326.0;;;;;;;;;;;;;;;
16882;Avassa UG (haftungsbeschränkt);2018-03-19;HRB 194459 B;Charlottenburg (Berlin);Berlin;Hardware;http://avassa.com/;;11329.0;;;;;;;;;;;;;;;
16883;Konfid.io Contract Solutions UG (haftungsbeschränkt);2018-03-19;HRB 194499 B;Charlottenburg (Berlin);Berlin;Blockchain / Crypto;https://www.kcs.konfid.io/;;11334.0;;;;;;;;;;;;;;;
16884;Mitakus analytics UG (haftungsbeschränkt);2018-03-16;HRB 239660;München;München;Dienstleistung;https://mitakus.de;;11349.0;;;;;;;;;;;;;;;
16885;Solipri UG (haftungsbeschränkt);2018-03-16;HRB 204532;Aurich;Weener;Blockchain / Crypto;;;11353.0;;;;;;;;;;;;;;;
16886;uniVRsitas UG (haftungsbeschränkt);2018-03-16;HRB 194420 B;Charlottenburg (Berlin);Berlin;Bildung;https://www.univrsitas.com/;;11354.0;;;;;;;;;;;;;;;
16887;Anders VR UG (haftungsbeschränkt);2018-03-15;HRB 764391;Stuttgart;Reutlingen;Medizin;https://www.anders.life;;11355.0;;;;;;;;;;;;;;;
16888;CONGRESSBRANNT UG (haftungsbeschränkt);2018-03-15;HRB 150725;Hamburg;Hamburg;Lebensmittel;http://www.doppel-wacholder.de/;;11357.0;;;;;;;;;;;;;;;
16889;Wunderbar Lifestyle UG (haftungsbeschränkt);2018-03-15;HRB 18134;Memmingen;Neu-Ulm;eCommerce;https://wunderbarlifestyle.com;;11362.0;;;;;;;;;;;;;;;
16890;emperience UG (haftungsbeschränkt);2018-03-14;HRB 150707;Hamburg;Hamburg;Personal;http://www.emperiencehr.com/;;11366.0;;;;;;;;;;;;;;;
16891;happy paragraph UG (haftungsbeschränkt);2018-03-14;HRB 194412 B;Charlottenburg (Berlin);Berlin;Finanzbereich;https://www.hallosteuer.de/;;11367.0;;;;;;;;;;;;;;;
16892;fairyland UG (haftungsbeschränkt);2018-03-13;HRB 194300 B;Charlottenburg (Berlin);Berlin;Lebensmittel;https://oromo.coffee/;https://www.linkedin.com/company/oromo-coffee/about/;11372.0;;;;;;;;;;;;;;;
16893;Riceball Squad Studios UG (haftungsbeschränkt);2018-03-13;HRB 729967;Mannheim;Neulußheim;Gaming;https://riceballsquad.com;;11377.0;;;;;;;;;;;;;;;
16894;Uberchord UG (haftungsbeschränkt);2018-03-13;HRB 35708 P;Potsdam;Potsdam;Bildung;https://www.uberchord.com/;;11380.0;;;;;;;;;;;;;;;
16895;vesper UG (haftungsbeschränkt);2018-03-13;HRB 194299 B;Charlottenburg (Berlin);Berlin;Logistik;http://www.getvesper.de;;11381.0;;;;;;;;;;;;;;;
16896;Konfid.io Energy Solutions UG (haftungsbeschränkt);2018-03-12;HRB 194127 B;Charlottenburg (Berlin);Berlin;Blockchain / Crypto;https://www.konfid.io/;;11386.0;;;;;;;;;;;;;;;
16897;Morph Green Tech UG (haftungsbeschränkt);2018-03-12;HRB 16807 FF;Frankfurt/Oder;Berlin;Energie;https://morphgreentech.com;;11389.0;;;;;;;;;;;;;;;
16898;Connect-KX UG (haftungsbeschränkt);2018-03-09;HRB 194171 B;Charlottenburg (Berlin);Berlin;Dienstleistung;https://connect-kx.com/;;11394.0;;;;;;;;;;;;;;;
16899;Gamebot UG (haftungsbeschränkt);2018-03-09;HRB 13325;Paderborn;Paderborn;Gaming;https://gamebot.co;;11395.0;;;;;;;;;;;;;;;
16900;TheFink UG (haftungsbeschränkt);2018-03-09;HRB 514391;Jena;Greiz;Medien;https://thefink.net;;11402.0;;;;;;;;;;;;;;;
16901;Vero City UG (haftungsbeschränkt);2018-03-09;HRB 211845 B;Charlottenburg (Berlin);Berlin;Software;;;11403.0;;;;;;;;;;;;;;;
16902;Wiwaxia Games UG (haftungsbeschränkt);2018-03-09;HRB 93855;Köln;Frechen;Gaming;https://wiwaxiagames.com;;11406.0;;;;;;;;;;;;;;;
16903;banto UG (haftungsbeschränkt);2018-03-08;HRB 764282;Stuttgart;Tübingen;Software;https://banto.co;;11408.0;;;;;;;;;;;;;;;
16904;Karmaticket UG (haftungsbeschränkt);2018-03-08;HRB 17160;Bochum;Bochum;Software;https://karmaticket.de;;11409.0;;;;;;;;;;;;;;;
16905;keilfixx UG (haftungsbeschränkt);2018-03-06;HRB 764225;Stuttgart;Rudersberg;Landwirtschaft;https://www.keilfixx.com;;11429.0;;;;;;;;;;;;;;;
16906;bringeling UG (haftungsbeschränkt);2018-03-05;HRB 194011 B;Charlottenburg (Berlin);Berlin;Lebensmittel;https://www.bringeling.de/;;11438.0;;;;;;;;;;;;;;;
16907;Drill-dich-fit UG (haftungsbeschränkt);2018-03-05;HRB 194014 B;Charlottenburg (Berlin);Berlin;Personal;https://fit4work.de;;11439.0;;;;;;;;;;;;;;;
16908;EA95 Berlin UG (haftungsbeschränkt);2018-03-05;HRB 194050 B;Charlottenburg (Berlin);Berlin;Dienstleistung;https://plaqee.de/;;11440.0;;;;;;;;;;;;;;;
16909;Sapplyu UG (haftungsbeschränkt);2018-03-02;HRB 111124;Frankfurt am Main;Frankfurt am Main;Software;http://finduapp.de;;11460.0;;;;;;;;;;;;;;;
16910;Wave Casual UG (haftungsbeschränkt);2018-03-02;HRB 37503;Dresden;Dresden;Software;https://wavecasual.com;;11464.0;;;;;;;;;;;;;;;
16911;BLN Technologies UG (haftungsbeschränkt);2018-03-01;HRB 11522;Siegen;Wenden;Hardware;https://www.bln-technologies.com;;11466.0;;;;;;;;;;;;;;;
16912;Exposify UG (haftungsbeschränkt);2018-03-01;HRB 212870;Oldenburg;Wilhelmshaven;Immobilien;https://www.exposify.de;;11472.0;;;;;;;;;;;;;;;
16913;R.S.E.M. re-nt UG (haftungsbeschränkt);2018-03-01;HRB 193959 B;Charlottenburg (Berlin);Berlin;eCommerce;https://www.re-nt.com/;;11476.0;;;;;;;;;;;;;;;
16914;Memola Lab. UG (haftungsbeschränkt);2018-02-28;HRB 764146;Stuttgart;Stuttgart;eCommerce;https://memola.de;;11485.0;;;;;;;;;;;;;;;
16915;Volcanicblue UG (haftungsbeschränkt);2018-02-28;HRB 729855;Mannheim;Mannheim;Logistik;https://tms.volcanicblue.com;;11488.0;;;;;;;;;;;;;;;
16916;Polaravior UG (haftungsbeschränkt);2018-02-27;HRB 25402;Stendal;Halle (Saale);Medizin;;;11491.0;;;;;;;;;;;;;;;
16917;BatteryCloud UG (haftungsbeschränkt);2018-02-26;HRB 30448;Duisburg;Oberhausen;Energie;http://batterycloud.de/;;11497.0;;;;;;;;;;;;;;;
16918;Contentular UG (haftungsbeschränkt);2018-02-26;HRB 82858;Düsseldorf;Düsseldorf;Medizin;;;11498.0;;;;;;;;;;;;;;;
16919;Frutando UG (haftungsbeschränkt);2018-02-26;HRB 25353;Bonn;Bornheim;Lebensmittel;https://frutando.com;;11504.0;;;;;;;;;;;;;;;
16920;Seeland Webfactory UG (haftungsbeschränkt);2018-02-26;HRB 514366;Jena;Seelingstädt;Logistik;https://seeland.world;;11510.0;;;;;;;;;;;;;;;
16921;Trails App Services UG (haftungsbeschränkt);2018-02-26;HRB 93711;Köln;Köln;Sport;https://trails.io;;11511.0;;;;;;;;;;;;;;;
16922;2thbrothers UG (haftungsbeschränkt);2018-02-23;HRB 26762;Traunstein;Chieming;eCommerce;http://2thbrothers.de/;;11513.0;;;;;;;;;;;;;;;
16923;Dogsharing UG (haftungsbeschränkt);2018-02-23;HRB 193761 B;Charlottenburg (Berlin);Berlin;Dienstleistung;https://dogsharing.de;;11515.0;;;;;;;;;;;;;;;
16924;CosaVita UG (haftungsbeschränkt);2018-02-22;HRB 18587;Krefeld;Krefeld;Software;https://www.cosavita.de;;11529.0;;;;;;;;;;;;;;;
