,shareholder_location
acra singapore,1
korbach,1
luxemburg,1
registro mercantil de madrid,1
stadthagen,1
b berlin,1
amberg,1
frankfurt/main,1
tostedt,1
guernsey registry,1
"registry companies, cayman islands",1
filderstadt,1
merseburg,1
sprockhövel,1
"sitz: nevada/usa; p.o. box , zephyr cove, nevada , usa",1
commercial register the canton zug,1
silema,1
haar,1
bruck,1
hájkova   praha ,1
london (gbr),1
unterhaching,1
fn  g,1
 darmstadt,1
niemetal-ellershausen,1
bammental,1
meerbusch,1
buchrain / schweiz,1
"strassen, luxemburg",1
prien a. chiemsee,1
trebbin,1
berlin charlottenburg,1
aadorf,1
company register the state delaware,1
"kopenhagen, dänemark",1
unterföhring,1
oftersheim,1
wenden,1
" rue lou hemmer,  luxemburg",1
gröbenzell,1
wüstenrot,1
kostheim,1
landau,1
monaco,1
stralsund,1
winsen (luhe),1
register für limited partnerships unter,1
 dresden,1
molfsee,1
schneverdingen,1
