startup_location;count
Marl;1
Lahntal;1
Lorsch;1
Mayen;1
Buchholz i.d.N;1
Dohren;1
Wittenburg;1
Kehl;1
Pirna OT Sonnenstein;1
Elchesheim-Illingen;1
Reinsberg OT Hirschfeld;1
Murnau a.Staffelsee;1
Leopoldshöhe;1
Geesthacht;1
Magdala;1
Ötigheim;1
Finning;1
Hemhofen;1
Papendorf OT Niendorf;1
Dornstetten;1
Steinbach (Taunus);1
Goslar;1
Roßhaupten;1
Wüstenrot;1
Mudersbach;1
Perl-Nennig;1
Südliches Anhalt OT Hinsdorf;1
Nienwohld;1
Steinfeld-Mühlen;1
Kalchreuth;1
Schifferstadt;1
Salching;1
Wörrstadt;1
Hornberg;1
Erbendorf;1
Lutherstadt Eisleben;1
Münsingen;1
Cleebronn;1
Kayhude;1
Illingen;1
Loßburg;1
Seehausen a. Staffelsee;1
Falkenstein/Harz OT Ermsleben;1
Eppingen;1
Rötgesbüttel;1
Bad Pyrmont;1
Waldkraiburg;1
Hochheim am Main;1
Beimerstetten;1
Anklam;1
Hellenthal;1
Küsten;1
Ofterdingen;1
Wustermark;1
Scheden;1
Tellig;1
Wittnau;1
Schrobenhausen;1
Eilenburg;1
Großenwiehe;1
Warburg;1
Mundelsheim;1
Brechen;1
Pfarrkirchen;1
Gössitz;1
Neubrandenburg;1
Friedland;1
Schnaittach;1
Warngau;1
Altenbeken;1
Grafschaft-Lantershofen;1
Ascheberg;1
Meddewade;1
Ahrensfelde;1
Eschershausen;1
Baldham;1
Brunnthal;1
Lappersdorf;1
Wörth a.d.Donau;1
Osterhofen;1
Rohr;1
Ummendorf;1
Werdau;1
Niederbergkirchen;1
Wannweil;1
Plüderhausen;1
Kronshagen;1
Nieklitz;1
Einhausen;1
Geratal OT Geschwenda;1
Hersbruck;1
Grömitz;1
Varel;1
Trochtelfingen;1
Töging a.Inn;1
Groß-Zimmern;1
Griesheim;1
Damme;1
Thalmässing;1
Gommern;1
Nehmten;1
Barbing;1
Buchenbach;1
Weilheim an der Teck;1
Harxheim;1
Bingen;1
Nersingen;1
Warngau-Oberwarngau;1
Buchloe;1
Hückelhoven;1
Zweibrücken;1
Gau-Odernheim;1
Mittweida;1
Bad Neuenahr-Ahrweiler;1
Stolzenau;1
Marktredwitz;1
Laage;1
Bernburg (Saale);1
Kremmen OT Sommerfeld;1
Kränzlin;1
Schiffweiler;1
Weyarn;1
Steinhöring;1
Heimbach;1
Zschopau;1
Mühldorf a.Inn;1
Hausen ob Verena;1
Eckental;1
Nümbrecht;1
Bingen am Rhein;1
Leutkirch im Allgäu;1
Dettingen an der Erms;1
Faulbach;1
Mescherin;1
Coswig;1
Halver;1
Ainring;1
Steinberg;1
Bad Homburg;1
Celle;1
Großröhrsdorf;1
Egelsbach;1
Fraunberg;1
Waldems;1
Woltersdorf;1
Döbeln;1
Güstrow;1
Fischen i. Allgäu;1
Aichhalden;1
Hohen Neuendorf;1
Brackenheim;1
Wahlstedt;1
Ronnenberg;1
Wettringen;1
Bexbach;1
Donaustauf;1
Reußenköge;1
Bersteland OT Niewitz;1
Buttenwiesen;1
Osterrönfeld;1
Banzkow;1
Wittmar;1
Angern;1
Groß-Gerau;1
Schleswig;1
Petersberg;1
Bottrop;1
Hohenbrunn/ Riemerling;1
Rottenburg am Neckar;1
Waldachtal;1
Schmelz;1
Bad Orb;1
Datteln;1
Talheim;1
Bergkamen;1
Schopfheim;1
Volkertshausen;1
Oederan OT Breitenau;1
Tamm;1
Mitterteich;1
Nossen;1
Weitnau;1
Einbeck;1
Pockau-Lengefeld;1
Daun;1
Mühlheim;1
Glauchau;1
Gudensberg;1
Essenheim;1
Elz;1
Ponitz;1
Karlstein am Main;1
Fichtenau;1
Winnweiler;1
Wang;1
Friesenried;1
Geseke;1
Kemnath;1
Vöhringen;1
Waldenburg;1
Wartenberg;1
Hergensweiler;1
Blumberg;1
Stuhr;1
Bucha OT Schorba;1
Gottmadingen;1
Baiersbronn;1
Langenbach;1
Weinböhla;1
Pansdorf;1
Schleusingen;1
Treis-Karden;1
Grafrath;1
Simbach a. Inn;1
Gehrden;1
Dahlenburg;1
Hennickendorf b. Strausberg;1
Soltau;1
Wunstorf;1
Bad Oldesloe;1
Siefersheim;1
Wertingen;1
Heiligenberg;1
Feuchtwangen;1
Bad Mergentheim;1
Namborn-Roschberg;1
Oberkochen;1
Oberschneiding;1
Bietigheim;1
Gmund a.Tergernsee;1
Sande;1
Blaubeuren;1
Waldenbuch;1
Denkingen;1
Regenstauf;1
Hüttenberg;1
Oranienburg OT Zehlendorf;1
Wulften;1
Kernen im Remstal;1
Eslohe;1
Ochtrup;1
Unterpleichfeld;1
Gottenheim;1
Swisttal;1
Pleß;1
Schönenberg-Kübelberg;1
Wellheim-Konstein;1
Eppelheim;1
Walzbachtal;1
Volkach;1
Freital;1
Schwabach;1
Rödental;1
Andernach;1
Glinde;1
Dürrwangen;1
Wennigsen;1
Heideck;1
Kelberg;1
Vilshofen an der Donau;1
Aitrang;1
Saarbrücken-Jägersfreude;1
Allendorf (Lumda);1
Leichlingen;1
Schönau-Berzdorf;1
Schwebheim;1
Wolfsburg;1
Dachsbach;1
Frankenthal;1
Glücksburg;1
Neckargemünd;1
Dillingen a.d.Donau;1
Kirchhain;1
Lienen;1
Vogt;1
Ubstadt-Weiher;1
Dudenhofen;1
Freudental;1
Gärtringen;1
Marschacht;1
Calvörde;1
Riß;1
Schwalbach;1
Fischbachau-Greisbach;1
Nordstemmen;1
Wiesenbronn;1
Oerlinghausen;1
Hartenholm;1
Alt Tellin OT Siedenbüssow;1
Martinroda OT Angelroda;1
Kottgeisering;1
Todesfelde;1
Vettelschoß;1
Erfurt OT Waltersleben;1
Wunsiedel;1
Zeitlarn;1
Wörth am Rhein;1
Meitingen;1
Forst;1
Fischbach;1
Plattling;1
Pollenfeld;1
Höchberg;1
Kißlegg;1
Stein;1
Mönsheim;1
Ahlden;1
Trebur;1
Niddatal;1
Uttenreuth;1
Bergkirchen;1
Oedheim;1
Oberdischingen;1
Pfaffenhofen a. d. Ilm;1
Schwabhausen;1
Cottbus OT Kiekebusch;1
Nordhalben;1
Schwerte;1
Vallendar;1
Leck;1
Meiningen;1
Salem;1
Kirchlinteln;1
Ebhausen;1
Margetshöchheim;1
Blaustein;1
Dischingen;1
Bendorf;1
Lützen;1
Danndorf;1
Baiern;1
Ruppichteroth;1
Langenzenn;1
Salzhausen;1
Emmelshausen;1
Pfeffelbach;1
Hetzles;1
Oststeinbek;1
Kuddewörde;1
Georgensgmünd;1
Wolfertschwenden;1
Mertingen;1
Füssen;1
Strullendorf;1
Liederbach;1
Kirchseeon;1
St. Michaelisdonn;1
Burgoberbach;1
Michelstadt;1
Reichenau;1
Bad Endorf;1
Alfeld (Leine);1
Freiberg am Neckar;1
Erlenbach;1
Oberkrämer;1
Elsfleth;1
Wilhelmsfeld;1
Erkner;1
Oberboihingen;1
Traunstein;1
Hitzacker;1
Ginsheim-Gustavsburg;1
Fürstenwalde/Spree;1
Hepberg;1
Moritzburg OT Boxdorf;1
Oberschwarzach;1
Mutterstadt;1
Creglingen;1
Rentweinsdorf;1
Wittstock/Dosse GT Randow;1
Hohenpeißenberg;1
Stemwede;1
Giengen an der Brenz;1
Schwanstetten;1
Flörsheim-Dalsheim;1
Merseburg;1
Münsing;1
Woldegk;1
Wingerode;1
Steyerberg;1
Gaggenau;1
Ehekirchen;1
Haren (Ems);1
Ruppertshofen;1
Mudau;1
Unkel;1
Aue;1
