btov_Digital_Technologies_li_S.C.S.,_SICAR;btov_Digital_Technologies_li_S.C.S.,_SICAR;yes;;;
Burkardt,_Jonathan;Burkardt,_Jonathan;yes;;;
Busl_Holding_GmbH;Busl_Holding_GmbH;yes;;;
Buteo_Ventures_AG;Buteo_Ventures_AG;yes;;;
buzzjective_UG_(haftungsbeschrankt);buzzjective_UG_(haftungsbeschrankt);yes;;;
bventures_capital_GmbH;bventures_capital_GmbH;yes;;;
C+R_Bartels_Beteiligungs_GmbH;C+R_Bartels_Beteiligungs_GmbH;yes;;;
Cadenza_Capital_Management_Limited;Cadenza_Capital_Management_Limited;yes;;;
cael_Ventures_GmbH_&_Co._KG;cael_Ventures_GmbH_&_Co._KG;yes;;;
Calm_Storm_1_EuVECA_GmbH_&_Co._KG;Calm_Storm_1_EuVECA_GmbH_&_Co._KG;yes;;;
Cambridge_Ventures_UG_(haftungsbeschrankt);Cambridge_Ventures_UG_(haftungsbeschrankt);yes;;;
Cameron_James_Hepburn;Cameron_James_Hepburn;yes;;;
CAMI_Ventures_UG_(haftungsbeschrankt);CAMI_Ventures_UG_(haftungsbeschrankt);yes;;;
Can_Kaplan;Can_Kaplan;yes;;;
cannonball_invest_GmbH;cannonball_invest_GmbH;yes;;;
capacura_GmbH;capacura_GmbH;yes;;;
capacura_Holding_1_GmbH;capacura_Holding_1_GmbH;yes;;;
capacura_Holding_4_GmbH;capacura_Holding_4_GmbH;yes;;;
Capnamic_Ventures_AG_Fund_III_GmbH_&_Co._KG;Capnamic_Ventures_AG_Fund_III_GmbH_&_Co._KG;yes;;;
Capnamic_Ventures_Fund_III_GmbH_&_Co._KG;Capnamic_Ventures_Fund_III_GmbH_&_Co._KG;yes;;;
Capnamic_Ventures_Fund_Il_GmbH_&_Co._KG;Capnamic_Ventures_Fund_Il_GmbH_&_Co._KG;yes;;;
Captor_OU;Captor_OU;yes;;;
Carmine_Paolino_Holdings_UG_(haftungsbeschrankt);Carmine_Paolino_Holdings_UG_(haftungsbeschrankt);yes;;;
Casimir_Investments_UG_(haftungsbeschrankt);Casimir_Investments_UG_(haftungsbeschrankt);yes;;;
Caspar_Wahler;Caspar_Wahler;yes;;;
CBES_Ventures_UG_(haftungsbeschränkt);CBES_Ventures_UG_(haftungsbeschränkt);yes;;;
CCL_Capital_UG_50,001_—_100,000/_(haftungsbeschr;CCL_Capital_UG_50,001_—_100,000/_(haftungsbeschr;yes;;;
CCL_Ventures_1_-—_50,000_UG_(haftungsbeschr;CCL_Ventures_1_-—_50,000_UG_(haftungsbeschr;yes;;;
Cecilia_Braggiotti;Cecilia_Braggiotti;yes;;;
CEOS_UG;CEOS_UG;yes;;;
CERES_VENTURE_GmbH;CERES_VENTURE_GmbH;yes;;;
CH_Stiftung_Christian_Hilsewig_Familienstiftung;CH_Stiftung_Christian_Hilsewig_Familienstiftung;yes;;;
Charles_Songhurst;Charles_Songhurst;yes;;;
Charlotte_Detemble;Charlotte_Detemble;yes;;;
Cheptcov_Andrei;Cheptcov_Andrei;yes;;;
Cherry_Ventures_Fund_III_GmbH_&_Co._KG;Cherry_Ventures_Fund_III_GmbH_&_Co._KG;yes;;;
Cherry_Ventures_Fund_IV_GmbH_&_Co_KG;Cherry_Ventures_Fund_IV_GmbH_&_Co_KG;yes;;;
Cherry_Ventures_Fund_IV_GmbH_&_Co._KG;Cherry_Ventures_Fund_IV_GmbH_&_Co._KG;yes;;;
Christian_Dargnat;Christian_Dargnat;yes;;;
Christian_Erazo_Recalde;Christian_Erazo_Recalde;yes;;;
Christian_Felten;Christian_Felten;yes;;;
Christian_Greb_GmbH;Christian_Greb_GmbH;yes;;;
