startup_location;count;mapped_location
Bad Nauheim;2;Frankfurt
Euskirchen;2;Cologne
Maintal;2;Frankfurt
Mössingen;2;Stuttgart
Zellingen;2;other
Bönningstedt;2;Hamburg
Bernau;2;Berlin
Tegernheim;2;other
Altenstadt;2;Munich
Rödermark;2;Frankfurt
Rheinzabern;2;Stuttgart
Geestland;2;other
Bad Wörishofen;2;Munich
Bornheim;2;Cologne
Aschau i.Chiemgau;2;Munich
Hörstel;2;other
Goch;2;other
Bad Wurzach;2;other
Türkheim;2;other
Radeberg;2;other
Lemgo;2;other
Waiblingen;2;Stuttgart
Achern;2;other
Pullach i. Isartal;2;Munich
Krailling;2;Munich
Haimhausen;2;Munich
Reken;2;other
Telgte;2;other
Wendlingen am Neckar;2;Stuttgart
Ratzeburg;2;Hamburg
Rohrdorf;2;Munich
Otterndorf;2;Hamburg
Ahrensburg;2;Hamburg
Bad Kissingen;2;other
Werne;2;other
Witzenhausen;2;other
Verden;2;other
Stadtlohn;2;other
Strausberg;2;Berlin
Lichtenfels;2;other
Nittendorf;2;other
Wietmarschen;2;other
Illertissen;2;other
Bad Heilbrunn;2;Munich
Neubeuern;2;Munich
Kirchzarten;2;other
Eppstein;2;Frankfurt
Handewitt;2;other
Harsefeld;2;Hamburg
Erkelenz;2;Cologne
Fürstenfeldbruck;2;Munich
Marktoberdorf;2;other
Oelde;2;other
Frankfurt / Oder;2;other
Neuhausen auf den Fildern;2;Stuttgart
Roßdorf;2;other
Bühl;2;other
Georgsmarienhütte;2;other
Stralsund;2;other
Rüdesheim am Rhein;2;Frankfurt
Müllheim;2;other
Engelskirchen;2;Cologne
Neuenstadt am Kocher;2;Stuttgart
Tholey;2;other
Obersulm;2;Stuttgart
Auetal;2;other
Hechingen;2;Stuttgart
Enge-Sande;2;other
Empfingen;2;Stuttgart
Ditzingen;2;Stuttgart
Feldkirchen;2;other
Karlsdorf-Neuthard;2;Stuttgart
Wernigerode;2;other
Filderstadt;2;Stuttgart
Burgwedel;2;other
Roding;2;other
Neusäß;2;Munich
Korbach;2;other
Gauting-Stockdorf;2;Munich
Barleben;2;other
Wetzlar;2;Frankfurt
Laatzen;2;other
Quakenbrück;2;other
Weinstadt;2;Stuttgart
Olsberg;2;other
Hambühren;2;other
