startup_id;startup_name;startup_website;
;"{""Vor- und Nachname des Gesellschafters, Geburts- datum, Wohnort bzw. Firma, Registernummer u. Amtsgericht, Sitz"":{""0"":""Rocking Europe Ventures GmbH AG Charlottenburg, HRB 135672 B Berlin"",""1"":""Apeiron Investment Group Ltd. Malta Business Registry Company C51483 Sliema, Malta"",""2"":null,""3"":""Xtopus UG (haftungs beschr\u00e4nkt) AG Frankfurt am Main, HRB 238322 Hofheim am Taunus"",""4"":""Vor- und Nachname des Gesellschafters, Geburts- datum, Wohnort bzw. Firma, Registernummer u. Amtsgericht, Sitz"",""5"":""Florian Heinemann Beratung & Beteiligung GmbH AG Charlottenburg, HRB 137588 B Berlin"",""6"":null,""7"":""Florian Langenscheidt geb. am 3. Juli 1955 Berlin"",""8"":""apploft GmbH AG Hamburg, HRB 116012 Hamburg"",""9"":null,""10"":""Finvia Invest GmbH AG Frankfurt am Main, HRB 120082 Frankfurt am Main"",""11"":null,""12"":""Ramp106 GmbH AG Hamburg, HRB 113109 Hamburg"",""13"":null,""14"":""Vor- und Nachname des Gesellschafters, Geburts- datum, Wohnort bzw. Firma, Registernummer u. Amtsgericht, Sitz"",""15"":""Brunner Verm\u00f6gensverwaltung GmbH AGM\u00fcnchen, HRB 218796 Pullach i. Isartal"",""16"":null,""17"":""Bonow Ventures UG (haftungs beschr\u00e4nkt) AG Charlottenburg, HRB 196668 B Berlin"",""18"":null,""19"":""Esermon Industries UG (haftungs beschr\u00e4nkt) AG Hamburg, HRB 117117 Hamburg"",""20"":null,""21"":""north-up GmbH AG Charlottenburg, HRB 129845 B Berlin"",""22"":null,""23"":""CHEPSTOW CAPITAL GmbH AGEssen, HRB 27212 Essen"",""24"":null,""25"":""Vor- und Nachname des Gesellschafters, Geburts- datum, Wohnort bzw. Firma, Registernummer u. Amtsgericht, Sitz"",""26"":""Nexus Investments GmbH AG Charlottenburg, HRB 173275 B Berlin"",""27"":null,""28"":""Monrepos Advisers GmbH AG Stuttgart, HRB 776128 Stuttgart"",""29"":null,""30"":""HiddenMarkets UG (haftungs beschr\u00e4nkt) AG Stralsund, HRB 7854 Greifs wald"",""31"":null,""32"":""Stefan Ruhling Capital GmbH AG W\u00fcrzburg, HRB 14665 W\u00fcrzburg"",""33"":null,""34"":""MVPF Technologies GmbH AG Charlottenburg, HRB 183696 B Berlin"",""35"":null,""36"":""Vor- und Nachname des Gesellschafters, Geburts- datum, Wohnort bzw. Firma, Registernummer u. Amtsgericht, Sitz"",""37"":""Carelli Capital GmbH AG M\u00fcnchen, HRB 262605 M\u00fcnchen"",""38"":null,""39"":""JALE Beteiligungs GmbH AG M\u00fcnchen, HRB 190172 Gr\u00e4felfing"",""40"":null,""41"":""Fortyone Capital GmbH AG M\u00fcnchen, HRB 238322 M\u00fcnchen"",""42"":null,""43"":""Viva Forever GmbH AG Charlottenburg, HRB 96257 B Berlin"",""44"":""Florian Stein geb. am 25. April 1991 Berlin"",""45"":""B\u00f6rner Capital GmbH AG Charlottenburg, HRB 155863 B Berlin""},""lfd. Nummern"":{""0"":""1 - 15.207"",""1"":""15.208 - 15.333"",""2"":""28.649 - 29.178"",""3"":""15.334 - 15.465"",""4"":""lfd. Nummern"",""5"":""15.466 - 18.790 27.595 - 27.727"",""6"":""20.125 - 20.155"",""7"":""18.791 - 19.535"",""8"":""19.536 - 19.611"",""9"":""25.001 - 25.318"",""10"":""19.612 - 19.769"",""11"":""25.319 - 25.981"",""12"":""19.770 - 19.832"",""13"":""25.982 - 26.246"",""14"":""lfd. Nummern"",""15"":""19.833 - 19.895"",""16"":""26.247 - 26.511"",""17"":""19.896 - 19.946"",""18"":""26.512 - 26.723"",""19"":""19.947 - 19.984"",""20"":""26.724 - 26.882"",""21"":""19.985 - 20.014"",""22"":""26.883 - 27.007"",""23"":""20.015 - 20.044"",""24"":""27.133 - 27.257"",""25"":""lfd. Nummern"",""26"":""20.045 - 20.074"",""27"":""27.258 - 27.382"",""28"":""20.075 - 20.124"",""29"":""27.383 - 27.594"",""30"":""20.156 - 20.206"",""31"":""27.728 - 27.939"",""32"":""20.207 - 20.236"",""33"":""27.940 - 28.064"",""34"":""20.237 - 20.262"",""35"":""28.065 - 28.170"",""36"":""lfd. Nummern"",""37"":""20.263 - 20.313"",""38"":""28.171 - 28.382"",""39"":""20.314 - 20.344"",""40"":""28.383 - 28.515"",""41"":""20.345 - 20.375"",""42"":""28.516 - 28.648"",""43"":""20.376 - 24.125"",""44"":""24.126 - 25.000"",""45"":""27.008 - 27.132""},""Nennbetrag der Gesch\u00e4fts anteile"":{""0"":""je 1,00 \u20ac"",""1"":""je 1,00 \u20ac"",""2"":""je 1,00 \u20ac"",""3"":""je 1,00 \u20ac"",""4"":""Nennbetrag der Gesch\u00e4fts anteile"",""5"":""je 1,00 \u20ac"",""6"":""je 1,00 \u20ac"",""7"":""je 1,00 \u20ac"",""8"":""je 1,00 \u20ac"",""9"":""je 1,00 \u20ac"",""10"":""je 1,00 \u20ac"",""11"":""je 1,00 \u20ac"",""12"":""je 1,00 \u20ac"",""13"":""je 1,00 \u20ac"",""14"":""Nennbetrag der Gesch\u00e4fts anteile"",""15"":""je 1,00 \u20ac"",""16"":""je 1,00 \u20ac"",""17"":""je 1,00 \u20ac"",""18"":""je 1,00 \u20ac"",""19"":""je 1,00 \u20ac"",""20"":""je 1,00 \u20ac"",""21"":""je 1,00 \u20ac"",""22"":""je 1,00 \u20ac"",""23"":""je 1,00 \u20ac"",""24"":""je 1,00 \u20ac"",""25"":""Nennbetrag der Gesch\u00e4fts anteile"",""26"":""je 1,00 \u20ac"",""27"":""je 1,00 \u20ac"",""28"":""je 1,00 \u20ac"",""29"":""je 1,00 \u20ac"",""30"":""je 1,00 \u20ac"",""31"":""je 1,00 \u20ac"",""32"":""je 1,00 \u20ac"",""33"":""je 1,00 \u20ac"",""34"":""je 1,00 \u20ac"",""35"":""je 1,00 \u20ac"",""36"":""Nennbetrag der Gesch\u00e4fts anteile"",""37"":""je 1,00 \u20ac"",""38"":""je 1,00 \u20ac"",""39"":""je 1,00 \u20ac"",""40"":""je 1,00 \u20ac"",""41"":""je 1,00 \u20ac"",""42"":""je 1,00 \u20ac"",""43"":""je 1,00 \u20ac"",""44"":""je 1,00 \u20ac"",""45"":""je 1,00 \u20ac""},""prozentualer An- teil des Gesch\u00e4fts- anteiles am Stammkapital"":{""0"":""je 0,0034 %"",""1"":""je 0,0034 %"",""2"":""je 0,0034 %"",""3"":""je 0,0034 %"",""4"":""prozentualer An- teil des Gesch\u00e4fts- anteiles am Stammkapital"",""5"":""je 0,0034 %"",""6"":""je 0,0034 %"",""7"":""je 0,0034 %"",""8"":""je 0,0034 %"",""9"":""je 0,0034 %"",""10"":""je 0,0034 %"",""11"":""je 0,0034 %"",""12"":""je 0,0034 %"",""13"":""je 0,0034 %"",""14"":""prozentualer An- teil des Gesch\u00e4fts- anteiles am Stammkapital"",""15"":""je 0,0034 %"",""16"":""je 0,0034 %"",""17"":""je 0,0034 %"",""18"":""je 0,0034 %"",""19"":""je 0,0034 %"",""20"":""je 0,0034 %"",""21"":""je 0,0034 %"",""22"":""je 0,0034 %"",""23"":""je 0,0034 %"",""24"":""je 0,0034 %"",""25"":""prozentualer An- teil des Gesch\u00e4fts- anteiles am Stammkapital"",""26"":""je 0,0034 %"",""27"":""je 0,0034 %"",""28"":""je 0,0034 %"",""29"":""je 0,0034 %"",""30"":""je 0,0034 %"",""31"":""je 0,0034 %"",""32"":""je 0,0034 %"",""33"":""je 0,0034 %"",""34"":""je 0,0034 %"",""35"":""je 0,0034 %"",""36"":""prozentualer An- teil des Gesch\u00e4fts- anteiles am Stammkapital"",""37"":""je 0,0034 %"",""38"":""je 0,0034 %"",""39"":""je 0,0034 %"",""40"":""je 0,0034 %"",""41"":""je 0,0034 %"",""42"":""je 0,0034 %"",""43"":""je 0,0034 %"",""44"":""je 0,0034 %"",""45"":""je 0,0034 %""},""Summe der Nenn- betr\u00e4ge des Ge- sellschafters"":{""0"":""15.207,00 \u20ac"",""1"":""656,00 \u20ac"",""2"":null,""3"":""132,00 \u20ac"",""4"":""Summe der Nenn- betr\u00e4ge des Ge- sellschafters"",""5"":""3.489,00 \u20ac"",""6"":null,""7"":""745,00 \u20ac"",""8"":""394,00 \u20ac"",""9"":null,""10"":""821,00 \u20ac"",""11"":null,""12"":""328,00 \u20ac"",""13"":null,""14"":""Summe der Nenn- betr\u00e4ge des Ge- sellschafters"",""15"":""328,00 \u20ac"",""16"":null,""17"":""263,00 \u20ac"",""18"":null,""19"":""197,00 \u20ac"",""20"":null,""21"":""155,00 \u20ac"",""22"":null,""23"":""155,00 \u20ac"",""24"":null,""25"":""Summe der Nenn- betr\u00e4ge des Ge- sellschafters"",""26"":""155,00 \u20ac"",""27"":null,""28"":""262,00 \u20ac"",""29"":null,""30"":""263,00 \u20ac"",""31"":null,""32"":""155,00 \u20ac"",""33"":null,""34"":""132,00 \u20ac"",""35"":null,""36"":""Summe der Nenn- betr\u00e4ge des Ge- sellschafters"",""37"":""263,00 \u20ac"",""38"":null,""39"":""164,00 \u20ac"",""40"":null,""41"":""164,00 \u20ac"",""42"":null,""43"":""3.750,00 \u20ac"",""44"":""875,00 \u20ac"",""45"":""125,00 \u20ac""},""prozentualer An- teil des Gesamt- umfangs der Ge- sch\u00e4fts anteile am Stammkapital"":{""0"":""52,118 %"",""1"":""2,2483 %"",""2"":null,""3"":""0,4524 %"",""4"":""prozentualer An- teil des Gesamt- umfangs der Ge- sch\u00e4fts anteile am Stammkapital"",""5"":""11,9576 %"",""6"":null,""7"":""2,5533 %"",""8"":""1,3503 %"",""9"":null,""10"":""2,8138 %"",""11"":null,""12"":""1,1241 %"",""13"":null,""14"":""prozentualer An- teil des Gesamt- umfangs der Ge- sch\u00e4fts anteile am Stammkapital"",""15"":""1,1241 %"",""16"":null,""17"":""0,9014 %"",""18"":null,""19"":""0,6752 %"",""20"":null,""21"":""0,5312 %"",""22"":null,""23"":""0,5312 %"",""24"":null,""25"":""prozentualer An- teil des Gesamt- umfangs der Ge- sch\u00e4fts anteile am Stammkapital"",""26"":""0,5312 %"",""27"":null,""28"":""0,8979 %"",""29"":null,""30"":""0,9014 %"",""31"":null,""32"":""0,5312 %"",""33"":null,""34"":""0,4524 %"",""35"":null,""36"":""prozentualer An- teil des Gesamt- umfangs der Ge- sch\u00e4fts anteile am Stammkapital"",""37"":""0,9014 %"",""38"":null,""39"":""0,5621 %"",""40"":null,""41"":""0,5621 %"",""42"":null,""43"":""12,8521 %"",""44"":""2,9988 %"",""45"":""0,4284 %""},""Ver\u00e4nderungsspalte"":{""0"":"""",""1"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 547\/2021 RB)"",""2"":"""",""3"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 547\/2021 RB)"",""4"":""Ver\u00e4nderungsspalte"",""5"":"""",""6"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""7"":"""",""8"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""9"":"""",""10"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""11"":"""",""12"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""13"":"""",""14"":""Ver\u00e4nderungsspalte"",""15"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""16"":"""",""17"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""18"":"""",""19"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""20"":"""",""21"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""22"":"""",""23"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""24"":"""",""25"":""Ver\u00e4nderungsspalte"",""26"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""27"":"""",""28"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""29"":"""",""30"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""31"":"""",""32"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""33"":"""",""34"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""35"":"""",""36"":""Ver\u00e4nderungsspalte"",""37"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""38"":"""",""39"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""40"":"""",""41"":""rechts gesch\u00e4ftlich \u00fcbertragen (UR-Nr. 548\/2021 RB)"",""42"":"""",""43"":"""",""44"":"""",""45"":""""}}";;
11762;Pink Internet GmbH;https://www.femtasy.com/;
9992;Wallary GmbH;https://www.wallary.app;
4175;Carealytix Digital Health GmbH;https://www.miku-app.com/;
6407;Norden Vaccines GmbH;;
8435;theBASE FOL Group GmbH;http://www.jointhebase.co/;
2585;Omiqa Bioinformatics GmbH;https://www.omiqa.bio/;
4480;VesselSens GmbH;https://vesselsens.com/;
7438;Pflegenio GmbH;https://pflegenio.de/;
8729;Clinomic GmbH;http://clinomic.ai/;
