name1,name2,score
Marine Digital,Allwebuy Digital GmbH,86
TS Ventures GmbH,Htwo Power 'n' Heat GmbH,86
ONVY HealthTech,NM Healthtech GmbH,76
heyconnect,Dive connected GmbH,72
ag.supply,Revalu Impact AG,86
Headmade Materials,SOLAR MATERIALS GmbH,64
Genesis Cloud,genesis mediware GmbH,86
Easy2Parts,Teamsports AI GmbH,63
Dive,Sedivention GmbH,90
TransactionLink,Reactionlink SE Technologies GmbH,66
Klima,Chili Mafia GmbH,72
Snatch Live,life is live GmbH,86
Mediaire,genesis mediware GmbH,79
Ecola Climo,CoCo-Communication & Collaboration GmbH,55
Rebolet,RESOLVED GmbH,64
KOALA,GoKarla GmbH,72
CatalYm,DeFining Capital GmbH,64
Selfapy,reversely GmbH,62
Cube Robot X,Innovative Robot Delivery GmbH,86
Mello,Yellowcup GmbH,72
bits&birds,Musical Bits GmbH,86
Milepay,Smile2Pay GmbH,77
DeepSpin,DeepSign GmbH,79
Cambrium,Rim Drive GmbH,57
Minespider,Kinderspiele Apps GmbH,63
StarBerry Games,NOW games Spielverlag GmbH,86
siOPTICA,OPTImic GmbH,57
EasyWeek,HappieHaus Wellbeing GmbH,56
Regis24 GmbH,BCN Food Tech GmbH,86
DoctorYou,SleepDoctor Quantum GmbH,70
EMMIE GRAY,Qemie GmbH,60
Surve Mobility,shared mobility services GmbH,86
cang.eco,eco.mio GmbH,86
Fridai the Gamer Assistant,THE CAN GmbH,86
Warehousing1,Hello Housing GmbH,57
Nitrobox,Anthrobotics GmbH,68
talent digital,Allwebuy Digital GmbH,86
Kitchn.io,Cryptoticker.io GmbH,86
Farmerscent GmbH,Htwo Power 'n' Heat GmbH,86
Hasty.ai,WeSort.AI GmbH,86
offmade,OneStop Pro Software Solutions GmbH,51
Purish,SongPush Media GmbH,68
Remind.me,Preevent.me GmbH,86
myEGO,Datamego GmbH,72
Backpacker Trail,Rail-Parts GmbH,55
Hypatos,Thanatos Entertainment GmbH,64
Illucens,ZILLES-IT GmbH,66
Scavengar,,60
Usercentrics,SCENTS HEALTH GmbH,54
Ultimate,World for Climate GmbH,68
Holocaf√©,VIAHOLO GmbH,62
Magazino,Orgazign Solutions GmbH,56
ENLYZE,Building Enerlytics GmbH,60
Alasco,allcompare GmbH,60
Veritas Entertainment,Lifelight Entertainment GmbH,72
Sanos Group,Yoove Mobility Group Holding GmbH,86
Loyalty Prime,DEX prime GmbH,53
HRGlobal GmbH,Htwo Power 'n' Heat GmbH,86
nethansa,,60
Basaas - Enterprise Productivity Hub,Smart Textiles Hub GmbH,86
EcoG,ecoro GmbH,68
Back,Circleback GmbH,90
Blazejewski MEDI-TECH,Tilo Tech GmbH,86
LinkWays UG,Flinks GmbH,64
Tangany,Vitavegan GmbH,64
homefully,sell-from-home.de GmbH,57
AlfaDocs,Phialogics GmbH,57
Journeyman,JimJourney GmbH,72
Pathmonk,Klaripath GmbH,57
SoSafe Cyber Security Awareness,Cyber Manatee GmbH,86
Canostix,BEFIMA Diagnostix GmbH,79
Zenjob,ZenKoPA GmbH,60
Heimkapital,DeFining Capital GmbH,58
Mecuris,Autobahn Security GmbH,64
Compa,allcompare GmbH,90
WindStar Medical GmbH,Bambustex GmbH,86
digid - Digital Diagnostics AG,Revalu Impact AG,86
Block2Job,BlockBrix GmbH,60
CHAINWISE Group,Yoove Mobility Group Holding GmbH,86
Elara,hodlwear GmbH,64
Foodcircle,The Golden Circle GmbH,63
Instawerk GmbH - CNC-Fr√§steile Online fertigen lassen,BCN Food Tech GmbH,86
Threedy,ekwi-three GmbH,71
KoRo,KOROSHO GmbH,90
Daypaio,AdaptionLab GmbH,64
AutoFlightX,autofox GmbH,61
Cauliflower,Flowers For Society GmbH,50
21strategies,Straic Technologies GmbH,56
ProcessM,prozesscheck.ONLINE GmbH,68
ZkSystems,Green Eventsystems und Service GmbH,70
Captrace,LawTracker Software GmbH,68
cargo.one,Iteration One GmbH,86
Halbestunde,Walletguide GmbH,56
Probably Genetic,Polly GmbH,54
Matterway,SMARTtray GmbH,70
thingk.systems,Virtual Trade Systems GmbH,86
think project! GmbH,Q.24 GmbH,86
stimOS,Luminissimo Design GmbH,62
bookingkit,BookingData IO GmbH,72
Mila,YOMIL GmbH,74
Strive School,Native Technology Education GmbH,62
Treasury Intelligence Solutions,Paul Solutions GmbH,86
Taxfix,Standfit.de GmbH,60
Space Products and Innovation Gmbh,BCN Food Tech GmbH,86
Crop.Zone,APPROVE.ZONE GmbH,86
SIRS Therapeutics,Centaura Therapeutics GmbH,86
essentry,Monestry GmbH,66
AUCTA,Revalu Impact AG,72
leon nanodrugs,,90
twinwin,Ambitional Training Labs GmbH,64
Geld und Wissen,Green Eventsystems und Service GmbH,86
Yuaco,Dynacortex GmbH,72
Code Intelligence,Elevator Intelligence GmbH,86
asgoodasnew,Luc & Dan´s Food Lab GmbH,50
HydroNeo,VigorHydrogen AG,68
CANDIS,Get Candid GmbH,75
talpasolutions,LYBR Digital Solutions GmbH,77
Solytic,Silolytics GmbH,77
Bella & Bona,,72
Combyne,Welcomy GmbH,62
Enginsight,insightsON GmbH,63
HIGH MOBILITY,shared mobility services GmbH,86
Lilium,Lifelight Entertainment GmbH,60
Baby Sweets,shared mobility services GmbH,50
GraduGreat GmbH,Htwo Power 'n' Heat GmbH,86
BIOMES,Biomes NGS GmbH,90
Smart Reporting,Smart Textiles Hub GmbH,86
ONO,Chronos M GmbH,90
Fraunhofer Institute for Solar Energy Systems,For Real Overlander GmbH,86
Pentixapharm,OpenAshram GmbH,52
auticon,Building Information Cloud GLWG GmbH,71
NorcSi GmbH,BCN Food Tech GmbH,86
PerioTrap Pharmaceuticals GmbH,BCN Food Tech GmbH,86
iATROS,Thanatos Entertainment GmbH,62
Deepsight,DeepSign GmbH,73
Spielworks,NOW games Spielverlag GmbH,54
Finiata,fino taxtech GmbH,64
Adrenomed,CaDo Medical Solutions GmbH,60
DGG,Njord GmbH,60
KUGU,Kluuf GmbH,68
Emoree,MEMOREAN GmbH,75
Yaak,Yababa GmbH,68
MySecondEar,timefonds AG,52
Mister Spex,Hamster Systems AG,66
mecorad,MEMOREAN GmbH,64
MYMY catering,CerAMing GmbH,59
Doc Cirrus,Circular Concepts GmbH,51
Home HT,Vivity Home GmbH,86
FINEXITY AG,Quantum Enlightenment Technologies AG,86
GreenCircle,SenCircle GmbH,68
Useful.tools,Evolve Game Tools GmbH,86
Proliance,LCS Lean Compliance Services GmbH,70
Wonder,Founders1 GmbH,75
Pinkbus,inkBlue GmbH,64
DyeMansion,semantic one GmbH,63
PerfectPattern GmbH,Q.24 GmbH,86
Kitekraft,Iteration One GmbH,60
Smart Flow Irritech Solutions,Smart & Cheeky GmbH,86
Smark,SMAK Organic GmbH,76
Keller Sports,Frenetic Sports GmbH,86
CooperHire,Scopewire Data GmbH,67
CureVac,CureCurve Medical AI GmbH,64
Xempus AG,Revalu Impact AG,86
Hatchmate UG (haftungsbeschr√§nkt),matchmyestate GmbH,57
Draint GmbH,BCN Food Tech GmbH,86
Sympatient,goPatients GmbH,63
Influnate,,60
GovMind,Forevermind GmbH,64
Bayes Holding,Yoove Mobility Group Holding GmbH,86
watttron,seatron GmbH,61
Taledo,WhalesDontFly H&F GmbH,75
HepaRegeniX,PREVENTIO GmbH,53
Bliq,shared mobility services GmbH,68
Classcamp,Electrified Classics GmbH,60
natif.ai,WeSort.AI GmbH,86
Anytype,OCEAN-Tape GmbH,64
InLine-Med,VISION MED GmbH,86
StoryBox,storky GmbH,63
mycrocast,MicroHarvest GmbH,54
Erium,merlim GmbH,72
Pricefx,DPMD Your Price GmbH,64
Claimsforce,CALIMA Safety GmbH,58
ShoeFitter,That's it International GmbH,54
Crafting Future GmbH,Q.24 GmbH,86
Replex,REFLEX aerospace GmbH,75
McMakler,the matchmakers GmbH,68
homecar24,BioMedicalTechnology GmbH,50
InstaFreight,STAI GmbH,57
eClear,PRAMOMOLECULAR GmbH,75
heartbeat medical,CaDo Medical Solutions GmbH,86
Medigo,MediBob GmbH,75
JustSpices,Just Connect GmbH,54
Construyo,Digital Construction Industry GmbH,70
Solavinea,,60
Oceanis,Clean Ocean Coatings GmbH,71
ONIQ,ROONIQ GmbH,90
Evum Motors,Meoton GmbH,52
Resilient Resident,Silent Dreams GmbH,56
Ferroelectric Memory Company,Pretect GmbH,52
medlink,medizen GmbH,64
ERIC - European RealEstate Innovation Capital,DeFining Capital GmbH,86
CI HUB,Smart Textiles Hub GmbH,86
KEYOU,VEYNOU GmbH,72
doctorly,SleepDoctor Quantum GmbH,74
Kumovis,movediscover GmbH,64
HomeTiger,BEST - Basis effektiver Schmerztherapie GmbH,60
Enapter,Lifelight Entertainment GmbH,64
Noscendo,Inondro GmbH,61
Bavarva Flock Limited,Limited Shit GmbH,55
Perfood,Wynn Petfood GmbH,77
slice,Adslide GmbH,72
brandschutz-zentrale.de,fixato.de GmbH,86
PAIR Finance,,90
LYMB.iO,Cryptoticker.io GmbH,86
Comtravo,Neomateria Games GmbH,56
CoolBeez,Cooleben Technology GmbH,68
Nano Interactive,,90
Nostos Genomics,GOENOMICS GmbH,55
Wildcorn,Wilder Mind GmbH,61
Expozed1,prozesscheck.ONLINE GmbH,53
Steppix,Next Step NM GmbH,62
Givetastic,NEOintralogistics GmbH,61
Kenjo,Okeanos Smart Data Solutions GmbH,72
CrossEngage,crossident GmbH,62
CloudRadar,CloudEatery GmbH,54
SpinDiag,pafinda GmbH,60
Wandelbots,,60
Tandem,Tandedoc GmbH,75
OSTWALD,Ostwald GmbH,90
The Story Market,The Future Living INT GmbH,86
Estating,SUSTAINX GmbH,68
GreenCom Networks AG,AVAILY AG,86
UNBIND,unwind your mind GmbH,75
Truck Norris GmbH,Q.24 GmbH,86
Apheris,AISuperVision GmbH,64
Foviatech GmbH,Htwo Power 'n' Heat GmbH,86
yfood Labs,Bergsonne Labs GmbH,86
UBIRCH,Dream Squircle GmbH,60
Arthur Technologies,Quantum Enlightenment Technologies AG,86
VAHA,ValutaChange Germany GmbH,68
Micropsi Industries,Midgard Industries GmbH,67
smart IoT,Smart Textiles Hub GmbH,86
Medloop,LE MELO SPORTNAHRUNG GmbH,64
Runtime,Just in Time - Food GmbH,64
LeanIX,Splanix GmbH,78
MinQi,Luminissimo Design GmbH,72
FINN,Proton Camera Innovations GmbH,68
Thankyoujane / Cantura,,60
Spryker Systems,Virtual Trade Systems GmbH,86
mySHOEFITTER GmbH,Q.24 GmbH,86
Optidash,OpenAshram GmbH,56
Mia & Ben,Cooleben Technology GmbH,61
RAYLYTIC,Building Enerlytics GmbH,68
E-Farm.com,E-Parktower GmbH,86
TripLegend,ELEGEND AG,60
TIMIFY,Kultify GmbH,68
Segmentive.AI,CureCurve Medical AI GmbH,86
Operations1,MYNE Operations GmbH,82
ikas,JaViAs GmbH,74
metru,metiundo GmbH,72
license.rocks,prozesscheck.ONLINE GmbH,53
ViveLaCar,PlayCade Interactive GmbH,57
Prosoma,Prosmartec GmbH,77
Oceanfruit,YF Ocean Distillers GmbH,63
MonitorFish,MONITOR Plus GmbH,64
EverReal,reversely GmbH,68
insha,brandshare GmbH,72
MARA,MARA Solutions GmbH,90
EMQOPTER,Remote Future GmbH,66
SonoBeacon,WOAla Global Connection GmbH,54
AX Semantics,,60
Doozer,OUTDOOR FREAKZ GmbH,68
attenio,ARTtention Gaming GmbH,77
Tubulis,Fortunalista GmbH,64
DOCYET,Flowers For Society GmbH,60
omni us,Dromni GmbH,64
Haiilo,CUTANEON - Skin & Hair Innovations GmbH,60
The Female Company,The Yellow SiC Development GmbH,86
Wechselpilot,European Health Tech Solutions GmbH,52
hyrd GmbH,Hibyrd GmbH,90
Deutsche Fintech Solutions GmbH,BCN Food Tech GmbH,86
Meisterwerk,Masterversity GmbH,58
getquin,MetaQuant Technologies GmbH,64
Tacto,stacktop GmbH,72
Endodont,Vilendo GmbH,57
Bego,ONTHEGO GmbH,68
UNOWN,unwind your mind GmbH,72
emmy,EmmySoft GmbH,90
RightNow,BE LIGHT NOW GmbH,79
Demodesk,Opedesk GmbH,61
Terranigma Solutions,OneStop Pro Software Solutions GmbH,86
GetYourGuide,Walletguide GmbH,54
Prolupin GmbH,Htwo Power 'n' Heat GmbH,86
ThinkImmo,Think-tech! GmbH,61
Infinite Devices,K&P Medical Devices GmbH,86
Laserhub,LeaseHub GmbH,79
KIWI,CLINKTWIN GmbH,68
DIZZBO,MediBob GmbH,62
Scompler,Scopewire Data GmbH,68
Edkimo,shared mobility services GmbH,60
flaschenpost,FLECS Technologies GmbH,52
Smart Forest,Smart Textiles Hub GmbH,86
Bringoo,Labringo GmbH,79
VISARIGHT,Visavid GmbH,67
Suitepad,CFO Suite GmbH,66
Airtango,airrange software GmbH,68
SolaVieve Technologies,Quantum Enlightenment Technologies AG,86
Roboyo,Urbyo GmbH,68
Fabrikat√∂r - Virtual Head of Operations,Spoon of Change GmbH,86
EntwicklerHeld,sinnaptic telemedical solutions GmbH,51
Targomo,DPO STAR GmbH,64
scoutbee,VenueScout GmbH,66
Loewi,Scopewire Data GmbH,72
Magnosco,Dermagnostix GmbH,68
UVENTIONS,Sedivention GmbH,70
BOXXPORT,Solarportal GmbH,56
KOZHYA,ZenKoPA GmbH,51
Emteria,Neomateria Games GmbH,77
Walberg Urban Electrics,urban eden GmbH,86
Samdock,SAMPOCHEM GmbH,64
Arculus,Snacklust GmbH,64
Zeitgold,Eperi Holding GmbH,56
MoneyCoach,MYOact GmbH,57
2trde,Trident Ars Machinarum GmbH,72
quantilope,,60
Circles,SenCircle GmbH,79
Signatrix,pulsatrix GmbH,68
Userlane,TrustLane Solutions GmbH,68
EMIL Group,Yoove Mobility Group Holding GmbH,86
ApplyZ GmbH I Talk'n'Job,Bambustex GmbH,86
Inuru,Skincura GmbH,72
White Label Advisory,The Core Label GmbH,59
store2be,Storeberries GmbH,79
haleez,WhalesDontFly H&F GmbH,60
Younikat,Gofurnit GmbH,57
buya,yappyBuy GmbH,74
HALE LIZ,SLS Sustainable Lifestyle Solutions GmbH,68
HYRE,shared mobility services GmbH,68
reINVENT,GreenDentin GmbH,68
FittiCoin,Iteration One GmbH,60
Cleverciti,CoVerified GmbH,54
truemorrow,Mutual Empowerment GmbH,54
MVP Match,CON.TACT Worldwide Match GmbH,86
Mindance,Friendly Finance GmbH,68
MINDZEIT,mindfit studios GmbH,68
NUMMERNSCHILD,Nimmerso GmbH,54
Arioso Systems,Virtual Trade Systems GmbH,86
Evertracker,LawTracker Software GmbH,58
Toposens,Htwo Power 'n' Heat GmbH,56
Zenmieter,PLANIS E3 Empathy Engineering GmbH,60
Aignostics,uSinus ECG Diagnostics GmbH,81
Mementor,ZusammenStromen GmbH,68
UPPER,Paper Pass GmbH,72
MedEngine,WisdomEngine GmbH,70
ahead¬Æ |¬†The Human Performance Company,The Future Living INT GmbH,86
abaut,My Beauty Call GmbH,72
YOLAWO,YOLLA Food & Tech GmbH,62
FACEN,faCellitate GmbH,72
Medinnovation GmbH,Q.24 GmbH,86
Weiss IT Solutions,OneStop Pro Software Solutions GmbH,86
Smunch.co,eat munchy GmbH,60
Propel,PS Prospecter Studios GmbH,75
DataGuard,datapanda GmbH,60
CereGate,Creativeaty GmbH,68
klaeny,Kleinblatt GmbH,60
Noah Mobility,shared mobility services GmbH,86
OAK25,miropack Verpackungstechnik GmbH,54
Embold,memodio GmbH,60
TradeLink,KidsTrain GmbH,61
valideffect,aeffect GmbH,61
Honest & Rare,OneStop Pro Software Solutions GmbH,55
FreshStuff,Black Forest Filaments GmbH,54
Osteolabs,Bergsonne Labs GmbH,60
wellabe,HappieHaus Wellbeing GmbH,77
Lanes & Planes,games & leaves GmbH,61
EnergyLabs,Intelligent Energy Transformation GmbH,63
TriOptoTec,Cryptoticker.io GmbH,54
Vara,Triviar Education GmbH,68
Aivy ‚Äì Your skills. Your job.,CS Job-Union GmbH,86
Kumpan Electric,,60
Application Traffic Control,antion GmbH,50
CELUS,Snacklust GmbH,72
Hornetsecurity,Autobahn Security GmbH,64
ServiceOcean,Allgemeine Schutzbrief Service GmbH,63
how.fm,Hexflow GmbH,60
AIVITEX,TSN Innovative Textilkonzepte GmbH,64
WeShape,we speak fluent cx GmbH,64
NovaPump,Revalu Impact AG,56
Talentspace,EarlyNode Talents GmbH,67
Aragon,cargonerds GmbH,75
Homeday,homeDX GmbH,66
Cyan Planet,Blue Planet Food GmbH,86
Legal Analytics GmbH,Q.24 GmbH,86
Valispace,AIRSPACES GmbH,70
PLAYSPORTS,Teamsports AI GmbH,63
AVE + EDAM,SAVE THE NATURE GmbH,57
Instagrid,Pinsta Foodlovers International GmbH,61
Planet V,V-Juice GmbH,86
StartSteps,5Stars Technologies GmbH,63
YUKKA Lab,Luc & Dan´s Food Lab GmbH,86
CHRONEXT,ContextHub GmbH,68
GymBeam,Pexam GmbH,67
Munevo,Megavoid Studios GmbH,60
Rameder,For Real Overlander GmbH,64
Klamo,Kadmos GmbH,72
Hyconnect,Just Connect GmbH,70
Everskill,reversely GmbH,61
enwork,AWA Network GmbH,75
DEBTVISION,VISION MED GmbH,67
EnergyCortex,EnerCont GmbH,56
Sunbloom protein,LAIA'S CBD & Proteinhanf GmbH,56
Flux Market,SAFLUX GmbH,55
Intertempi,That's it International GmbH,63
RemoteMore,Remote Future GmbH,64
purefood,GREENFORCE FUTURE FOOD AG,79
Lean Plastics Technologies,TG Technologies GmbH,71
GoLiving,Vagabundo Living GmbH,79
QuizCo,Dream Squircle GmbH,60
Abihome,SafeHome GmbH,64
FORWARD,Switchboard GmbH,57
ChurchTools Innovations,CUTANEON - Skin & Hair Innovations GmbH,86
CurveSYS,PROCURELY GmbH,61
Navigance,,60
Devie Medical,CaDo Medical Solutions GmbH,86
Capdevila ite,PlayCade Interactive GmbH,56
FAZE models,OneStop Pro Software Solutions GmbH,50
CellmatiQ,Climatiq Technologies GmbH,70
Thryve,ekwi-three GmbH,62
tooz technologies GmbH,TG Technologies GmbH,90
Umeleon,Mäx & Mäleon GmbH,64
Lycka,PlayCade Interactive GmbH,72
weMake GbR,Wee GmbH,67
CommneX GmbH,BCN Food Tech GmbH,86
SMACC,Trident Ars Machinarum GmbH,72
nerdswire.,Kinderspiele Apps GmbH,60
Anyledger,,60
ProGlove,Progeny mHealth GmbH,57
iMPREG GmbH,BCN Food Tech GmbH,86
RISE Financial Technologies,Blitz Financial Technologies GmbH,86
MateCrate,Neomateria Games GmbH,64
Prodisfy,OneStop Pro Software Solutions GmbH,56
OPUSHERO,SongPush Media GmbH,57
Redavia,Scopewire Data GmbH,64
RYSTA,matchmyestate GmbH,72
Snubes,Nubes Businesssneaker GmbH,75
Lambus,Bambustex GmbH,75
inga.,Minga Mobility GmbH,90
Peace of Meat,Spoon of Change GmbH,86
Lumiform,Auto Platform GmbH,57
Open as App,Portfolio App GmbH,86
frischepost,Safari Erfrischungsgetränke GmbH,58
Unit Home,Vivity Home GmbH,86
Zahnarzt-Helden,,60
GameValues,Valuecase GmbH,64
SIRPLUS,MONITOR Plus GmbH,64
SiaSearch,Neural Search Labs GmbH,70
BEAT81,My Beauty Call GmbH,60
Greenfield,Green Fellas Plant-Based-Food GmbH,72
Styla.com,reitbuch.com GmbH,86
voiio,Altea Vision GmbH,72
ROOBEO GmbH,BCN Food Tech GmbH,86
Cellbricks,grammar bricks GmbH,54
Lingoda,BookingData IO GmbH,64
Caramella,MyClarella GmbH,70
Instruments of Things,doinstruct Software GmbH,53
Salesinfo,honeysales GmbH,61
CST,Griffig Robotics GmbH,68
Milk the Sun,The Future Living INT GmbH,86
Zizoo,Iteration One GmbH,54
Highsnobiety,Flowers For Society GmbH,57
Flowers-Software GmbH,Bambustex GmbH,86
WORKERBASE,Spokebase GmbH,58
Teraki,Iteration One GmbH,75
Plantura,Plant Based Food GmbH,68
ArtNight GmbH,Htwo Power 'n' Heat GmbH,86
Tracifier,Packfinder24 GmbH,60
ProNoblis AG,Xpect AG,86
Mindpeak,Mind Mates GmbH,57
Aomics GmbH,BCN Food Tech GmbH,86
Crashtest Security,Autobahn Security GmbH,59
AssistMe,cura-assistant GmbH,68
MOTIONTAG,Motion Advantage GmbH,70
Konetik,FoodConfetti GmbH,64
authorized.by,Better by Nature Beverages GmbH,86
deviceTRUST,XplicitTrust GmbH,58
DataZoo,retailmediatools GmbH,64
bonify,Immonify GmbH,75
BEEsharing,Green Tree Farming GmbH,63
United Games Entertainment GmbH,BCN Food Tech GmbH,86
Proova,Proovy Software GmbH,75
ShipStock,ThingsRock GmbH,60
Horizn Studios,Megavoid Studios GmbH,86
Lyght Living,The Future Living INT GmbH,86
Sizolution,GPC Solution GmbH,76
CrossLend,crossident GmbH,70
FABVOTE,Glasbote GmbH,64
SeRo Systems,Virtual Trade Systems GmbH,86
RetroBrain R&D GmbH,Q.24 GmbH,86
KREATIZE,Creativeaty GmbH,68
Hotelbird,ProperBird GmbH,60
Monte Nativo,,60
goedle.io,Cryptoticker.io GmbH,86
Aescuvest,VenueScout GmbH,57
Iconic Holding,Yoove Mobility Group Holding GmbH,86
Silicon Radar,Mobias Mobility Advanced Solutions GmbH,49
e-bot7,E-SEC GmbH,86
HelloFreshGO,sell-from-home.de GmbH,52
idatase GmbH,BCN Food Tech GmbH,86
DearEmployee,deepeye Medical GmbH,52
fodjan GmbH,BCN Food Tech GmbH,86
Seraplant GmbH,Htwo Power 'n' Heat GmbH,86
AiSight,insightsON GmbH,77
BDK Group,Yoove Mobility Group Holding GmbH,86
MAGMENT,think-cell Management GmbH,77
Joonko,omono GmbH,62
FoldAirs,GoodBears GmbH,57
LAWIO,bilateralstimulation.io BLS GmbH,72
CNC24,finance4kids GmbH,54
Klang Games,Neomateria Games GmbH,86
1sales.io,Cryptoticker.io GmbH,86
brighter AI,Teamsports AI GmbH,86
AERVIDEO,Vaeridion GmbH,68
Neuform,Coinformation GmbH,64
8sense,Treesense GmbH,75
Kalea,Altea Vision GmbH,72
Crumb,CUDA GmbH,57
Honest Food,BCN Food Tech GmbH,86
CRX Markets AG,AVAILY AG,86
immatics biotechnologies,Eximmium Biotechnologies GmbH,75
gridscale,Additive Scale GmbH,60
BIO-LUTIONS,aibi solutions GmbH,74
Eurocircuits,neurodactics GmbH,55
Pickar,Cryptoticker.io GmbH,60
Sensorise,FaradaIC Sensors GmbH,75
Cruisewatch,Qruise GmbH,55
Gatagoto,Quantagonia GmbH,56
Belyntic,Building Enerlytics GmbH,68
Vermietet.de,DASKrebsportal.de GmbH,86
Companisto,Naturkomponisten GmbH,63
YOOLOX,Toolbox Hero GmbH,75
Baqend,ImmBlend GmbH,60
HandEX,ValutaChange Germany GmbH,62
Cyanite,Alicante Vice GmbH,64
CryoTherapeutics,Paricam Therapeutics GmbH,73
verlingo,LGE Energy Berlin GmbH,68
3DQR,MapCad3D GmbH,57
FLYLA,Flyless Travel GmbH,72
ChargeX,r3charge Travel GmbH,77
Anyl,MAYLA GmbH,68
Loco Adventures,Calypso Ventures GmbH,61
retest,Pretect GmbH,75
Raisin,Ambitional Training Labs GmbH,75
Keyp,HOKEY POKEY GmbH,68
Airgreets,MINGAGREENS GmbH,64
Cytena,,72
Climedo,Applimeda GmbH,64
MOQO,sumoo GmbH,74
meinAdmin,,60
LexFox,Hexflow GmbH,60
Good Seed Ventures,Hyped Ventures GmbH,66
X-Trade,Lunar X GmbH,86
Fineway,Software Defined Automation GmbH,64
hundred,Thunder Labs GmbH,66
ItsMyCargo,cityscaper GmbH,56
Lano,JETPLAN GmbH,74
racksnet,Snacklust GmbH,56
Keatz,sereact GmbH,57
VESTUR,FinToVentures GmbH,75
Cybus,Happy Business GmbH,72
MobilityDataLab GmbH ( CAR2AD | STORE2WEB ),BCN Food Tech GmbH,86
JOBMATCH.ME,mobility4.me GmbH,86
Kokoro GmbH.,BCN Food Tech GmbH,86
Dotscene,VaRi Bioscience GmbH,68
eliso,WATERREBELS GmbH,64
Vila Health,Rekoo Health GmbH,86
Weddyplace,Hydroplace GmbH,54
Quofox,autofox GmbH,75
Skoove,Rekoo Health GmbH,60
GNA Biosolutions,Ambiatec Biosolutions GmbH,86
corrux,Dynacortex GmbH,60
Trittbrett Helden,Betriebsmittelhelden GmbH,57
BlockRock Ventures,Calypso Ventures GmbH,59
AI Bots as a Service - a Conversational AI engine by AI BaaS,WeSort.AI GmbH,86
Innential,Fingentia GmbH,70
SkillYoga,Skill Reveal GmbH,61
C2S2,Griffig Robotics GmbH,57
rightmart Group (rightmart GmbH),BCN Food Tech GmbH,86
beeBlum,GREENBAUM Cloud GmbH,64
ImmoPresenter 3D,immediate interaction GmbH,53
aiconix GmbH,Pionix GmbH,87
Breakpoint Therapeutics,Paricam Therapeutics GmbH,66
Tacalyx,Vertical Farm Tech GmbH,57
Core Elements,crooked elements GmbH,86
corvitac GmbH,Htwo Power 'n' Heat GmbH,86
Scoperty,Scopewire Data GmbH,68
HeyJobs,relyos GmbH,57
Mutti freut sich,E-SEC GmbH,50
Fliit,XplicitTrust GmbH,72
Serinus,uSinus ECG Diagnostics GmbH,64
Workademy,SAM Network GmbH,61
RecTag,Directra GmbH,75
AMIRA Media,Louco Event Media GmbH,86
Lilian Labs,Bergsonne Labs GmbH,86
BioNTech,re7 Biotech GmbH,79
Capinside,Get Candid GmbH,57
Thinksurance,Teal Insurance Broker GmbH,71
tye,sovity GmbH,68
Innoplexus,,60
G2 Esports,brightensport GmbH,68
babelforce,Black Forest Brewing GmbH,54
Clean Energy Global,Intelligent Energy Transformation GmbH,86
autengo (acquired by Alzura.com - b2b marketplace for the automotive aftermarket),The Future Living INT GmbH,86
ZNIKLEZ,inkBlue GmbH,53
dentolo,Native Technology Education GmbH,64
box-to-box,Time To Token IT GmbH,86
Aero Commerce,BEST - Basis effektiver Schmerztherapie GmbH,56
ubitricity,Urbanistic GmbH,54
Preisenergie,WRS Energie + Druckluft GmbH,68
Whyapply,yappyBuy GmbH,64
treffen,Treesense GmbH,64
Cluno,includo GmbH,72
Carl,Musical Bits GmbH,74
Delfactis AG,Xpect AG,86
ViGeneron,Building Enerlytics GmbH,60
Ferntech,VRScience Lerntechnologie GmbH,79
Cynora,Kay Organics GmbH,60
remberg,Streamergy GmbH,77
Emm! solutions,OneStop Pro Software Solutions GmbH,86
inveox,detective.solutions GmbH,60
alcemy,allcompare GmbH,60
Inflight VR Software GmbH,Bambustex GmbH,86
Spyra One,Iteration One GmbH,86
Automate Estate,MATEO Estate GmbH,69
Smava,Savage Sauce GmbH,72
Polycare,polycirQ GmbH,68
Spherity,Autobahn Security GmbH,68
coindex,Packfinder24 GmbH,64
Eisbach Bio,reitbuch.com GmbH,58
TonePedia GmbH,Htwo Power 'n' Heat GmbH,86
Coinlend,Continental Payment GmbH,68
MeinAlarm24 GmbH,Htwo Power 'n' Heat GmbH,86
asvin.io,Cryptoticker.io GmbH,86
Ordercube,Orderio GmbH,57
Ciara,polycirQ GmbH,57
Gridhound,Offgrid Mindful Cabins GmbH,60
Velabs Therapeutics,Paricam Therapeutics GmbH,73
WHAT A LOCATION,A.I. Medical Systems AIMS GmbH,86
rvolt.,Evolute CX GmbH,72
Lofelt,Snacklafel GmbH,62
Pflegix,NAILFLIX GmbH,57
Nomitri,Neomateria Games GmbH,64
DyNAbind,DnA Industry Solutions GmbH,68
BETAFASHION,Impossible Fusion GmbH,58
Meet5,meetap GmbH,72
MOIO GmbH,BCN Food Tech GmbH,86
Nextgen Reader,Green Tree Farming GmbH,52
close2real GmbH,Htwo Power 'n' Heat GmbH,86
Heycater!,Xspecter GmbH,61
AssetMetrix GmbH,Htwo Power 'n' Heat GmbH,86
EMnify,Immonify GmbH,75
Springlane,,60
Urbify,Autobahn Security GmbH,62
Frontier Car Group,Yoove Mobility Group Holding GmbH,86
