name1,name2,score
e.GO Mobile,Mobile Swimming Solutions GmbH,86
Retamo,Goresto GmbH,62
Roadsurfer,Treazure Ark GmbH,54
Workpath,AWA Network GmbH,57
LiveEO,Kardiolive GmbH,68
Qualifyze,Vision4Quality GmbH,64
Limehome,SafeHome GmbH,56
Sharpist,Sharit GmbH,63
sevDesk,Opedesk GmbH,66
PAYLA,Payla Services GmbH,90
finway,pafinda GmbH,62
Collato,CoCo-Communication & Collaboration GmbH,77
receeve GmbH,BCN Food Tech GmbH,86
Insempra,Digitaler Ernährungskompass GmbH,56
35up,Unping GmbH,45
Implify,simply-culture GmbH,71
Building Radar,Building Enerlytics GmbH,86
Wingcopter,DeFining Capital GmbH,54
Tenzir,SenCircle GmbH,60
Fanzone Media,Louco Event Media GmbH,86
Kitchenful,CaleaKitchen GmbH,63
HealthCaters,DHS - Diagnostic HealthCare Solutions GmbH,75
Mondu,Mondu GmbH,90
Laori Drinks,Safari Erfrischungsgetränke GmbH,52
Dogo GmbH,BCN Food Tech GmbH,86
Livebuy,Hivebuy GmbH,77
PowerUs,Htwo Power 'n' Heat GmbH,71
Relevo,elevate Solutions GmbH,60
Productsup,Purpose Products GmbH,77
Flowplace,flowplace GmbH,90
Atheneum,Atheneum Partners Holding GmbH,90
MotionTools (fka M-TRIBES),Chronos M GmbH,86
Vantik,MOVARTI GmbH,62
DRACOON GmbH,BCN Food Tech GmbH,86
Vyoma,BerryOnMars GmbH,72
Clime,Applimeda GmbH,72
volytica diagnostics GmbH,Bambustex GmbH,86
ARTMO,platomo GmbH,72
FAAREN Group GmbH,Q.24 GmbH,86
Mr Beam Lasers,Bembel Divers GmbH,53
Immotege,ImmoTech Plattform GmbH,68
x-cardiac,x-cardiac GmbH,90
Sponsoo,spoboo GmbH,66
InstaMotion Retail,Iteration One GmbH,50
Moonfare,Mondarella GmbH,68
Cannaable,SLS Sustainable Lifestyle Solutions GmbH,64
FuelSave,SAVE THE NATURE GmbH,64
sewts,7Assets GmbH,72
maviance,Mobias Mobility Advanced Solutions GmbH,68
TIER Mobility,shared mobility services GmbH,86
Countercheck,Countercheck GmbH,95
1NCE,Friendly Finance GmbH,68
StudySmarter,Smart Registry GmbH,62
Zazu,Treazure Ark GmbH,68
Mimetik,Timetip GmbH,64
XVA Blockchain,Noris Blockchain Solutions GmbH,86
BITA,bitahoy GmbH,90
OneFor,Coinformation GmbH,75
future demand,The Future Living INT GmbH,86
Adtriba,Neomateria Games GmbH,66
Upvest,MoveMaster GmbH,60
Split Tech-Solutions GmbH,Bambustex GmbH,86
Pectus Finance,,90
Sdui,Dream Squircle GmbH,68
Plan4 Software,OneStop Pro Software Solutions GmbH,86
MicroStream,Mihosta GmbH,61
OroraTech,QUDORA Technologies GmbH,70
Daedalus,QuerGradAus GmbH,57
Inwerk,SSC ContainerKultur Hamburg GmbH,75
thingsTHINKING,in.think GmbH,59
tacterion,immediate interaction GmbH,70
Loxonet,uballoon GmbH,62
Lindera GmbH,BCN Food Tech GmbH,86
Thing Technologies,Quantum Enlightenment Technologies AG,86
koppla,ZenKoPA GmbH,68
Unicorn Workspaces,Spacies GmbH,60
Blocksize Capital,inVenture Capital iVC GmbH,86
Dogs 'n Tiger,Htwo Power 'n' Heat GmbH,86
WechselGott,DLiWR Technologies GmbH,50
Orbit Health,Health Data Technologies GmbH,86
SciFlow,Freshflow GmbH,64
Ryte,Bryte Technologies GmbH,90
AWAKE Mobility,shared mobility services GmbH,86
byways,glamy DAYS GmbH,60
Wunderflats,Thunder Labs GmbH,66
Motourismo,Mobias Mobility Advanced Solutions GmbH,54
AppNavi,,60
CYCLE,AuditCycle GmbH,90
BerlinGreen,LGE Energy Berlin GmbH,62
Moss,Kadmos GmbH,74
Thermosphr,ATHOS Biopharma GmbH,54
Cosuno,Coinformation GmbH,60
ARIVE,arive GmbH,90
Lengoo,Legomo GmbH,75
NOMOO,Gomoon GmbH,72
Frontastic,Formtastic GmbH,72
NeoPrediX,Printoptix GmbH,53
Banxware,,60
Vantis,Univents GmbH,62
HelloBetter,Broken Lobster GmbH,60
Installion,go4million GmbH,64
Hybrid Lidar Systems AG,AVAILY AG,86
GetSteps,Next Step NM GmbH,68
Elucidate,faCellitate GmbH,60
Sanity Group,Yoove Mobility Group Holding GmbH,86
IoT Venture,FinToVentures GmbH,74
Gitpod,JPEG Import/Export GmbH,60
Twinsity,VetVisit GmbH,61
Pflegeplatzmanager,,60
shyftplan,,60
Exporo,JPEG Import/Export GmbH,75
Yuri,Sustainable Manufacturing GmbH,68
Sch√ºttflix,stadtfix GmbH,58
CleanHub,LeaseHub GmbH,68
Capmo,Campo Libre GmbH,72
FTAPI Software,OneStop Pro Software Solutions GmbH,86
LUDI Therapeutics,Centaura Therapeutics GmbH,86
eCovery,HealthCovery GmbH,77
Tupu,Tupu Farming Solutions GmbH,90
Floristy,sevenfloors GmbH,61
3D Interaction Technologies,3D Spark GmbH,86
Checkly,LuniCheck GmbH,71
Cadeia,x-cardiac GmbH,75
Hivebuy,Hivebuy GmbH,90
AnyDesk,Anyskill Technologies GmbH,64
VisioLab,Visiolumen Technologie GmbH,68
Newsenselab (M-sense),SenseING GmbH,55
L√∂wenkind,l'herbivore GmbH,86
The Exploration Company,The Exploration Company GmbH,95
BEEZER Technologies,Quantum Enlightenment Technologies AG,86
Into You,BK foods for you GmbH,86
Swaarm,1drone swarm technologies GmbH,75
Priceloop,Printerlo GmbH,60
VlyFoods,Hoaly Foods GmbH,79
HELLSICHT,Compare Verlagsgesellschaft mbH,70
zoolo,Toolbox Hero GmbH,72
SQUAKE,SQUAKE.earth GmbH,90
Her1,BBQ Rescher GmbH,74
NeuroNation,That's it International GmbH,74
Grid,ApptiveGrid GmbH,90
Centrifuge,AI Mentoring GmbH,57
HPS,Happy Business GmbH,60
3YOURMIND,unwind your mind GmbH,80
Quality Match,CON.TACT Worldwide Match GmbH,86
Vesputi,MMDD MaxResolution3D GmbH,64
mylivn,The Future Living INT GmbH,60
Rebike Mobility,shared mobility services GmbH,86
Papershift,Panama Papers Spirits GmbH,63
Maniko Nails,,60
Beducated,Native Technology Education GmbH,60
Abalos Therapeutics,Paricam Therapeutics GmbH,73
Fairsenden,GreenDentin GmbH,54
Egret,SECRET MAGIC GmbH,72
SciRhom,Schoof & Jensen GmbH,53
Othoz,Toshimoto GmbH,64
digitty.io,Cryptoticker.io GmbH,86
BRYTER,Bryte Technologies GmbH,75
Meister,MoveMaster GmbH,64
Smart4Diagnostics,uSinus ECG Diagnostics GmbH,64
smapOne,Pickd Quick Response GmbH,66
YieldKit,QYB Quantum Yield Berlin GmbH,66
GETFASTER.IO,Cryptoticker.io GmbH,86
Happybrush,Happy Business GmbH,72
circuly,Circular Concepts GmbH,77
SIDES,Happy Business GmbH,72
Spree Interactive,Soapbox Interactive GmbH,75
Zeotap,LifeTap GmbH,62
Energy Robotics,ESR EINSTEIN SURGICAL ROBOTICS GmbH,86
Vinqo,Nimevio GmbH,64
Delicious Data,Health Data Technologies GmbH,86
Container xChange,,60
Eleva,elevate Solutions GmbH,90
buynomics,Baynomic GmbH,64
aidhere,disphere tech GmbH,64
Cobrainer,SSC ContainerKultur Hamburg GmbH,70
Mait,LABMaiTE GmbH,90
26 Homes,sell-from-home.de GmbH,64
Pregfit,Smart Registry GmbH,64
Hepster,MoveMaster GmbH,64
RailWatch,Rail-Parts GmbH,60
Heycar,regionalheart GmbH,62
HAUSGOLD,HappieHaus Wellbeing GmbH,56
Capabox,Capabox GmbH,90
Ariadne Maps,agriportance GmbH,55
Reactive Robotics,ESR EINSTEIN SURGICAL ROBOTICS GmbH,86
Circula,Circular Concepts GmbH,90
Umbrella Software Development,021 Software GmbH,86
Footprint Technologies,Quantum Enlightenment Technologies AG,86
HiPeople,Coachwhisperer GmbH,56
Cineamo,Social Moms GmbH,64
Scoobe3d,Cooleben Technology GmbH,56
Apaleo,Unstoppable Finance GmbH,62
Polyteia,Polytalon GmbH,68
Feelbelt,RockFeel GmbH,57
Raus,StayRaus GmbH,90
Finanzchef24,,90
casavi,Cashtag GmbH,60
Upmin,Upmin Holding GmbH,90
yuccaHR,RecruCare GmbH,53
Trana,,72
Build38,Inbuild GmbH,71
ExB Labs,Bergsonne Labs GmbH,86
Dopavision,DIGITAL VISION GROUP GmbH,68
Cognigy GmbH,BCN Food Tech GmbH,86
DABBEL,trabble GmbH,62
MedKitDoc,retailmediatools GmbH,60
testxchange,ValutaChange Germany GmbH,63
Buzicard,hub.cards software GmbH,56
Pliant,AGT Roboplant GmbH,78
Puls Project,ORILABO Project GmbH,86
Sunvigo,Unping GmbH,53
charly,Charlie Production GmbH,75
Afilio,Optalio GmbH,68
Explosion AI,Teamsports AI GmbH,86
Smartlane,Prosmartec GmbH,64
Flow Lab,Luc & Dan´s Food Lab GmbH,86
Klarsolar,FLIN solar GmbH,60
bao solutions,OneStop Pro Software Solutions GmbH,86
CEVEC Pharmaceuticals,Endosane Pharmaceuticals GmbH,79
Elixion Medical,Elixion Medical GmbH,95
AVA,AVAILY AG,90
FinMarie,Destinaries GmbH,68
Merula,merlim GmbH,60
WaschMal,Nachhaltigkeitshelden GmbH,56
Scalable Capital,inVenture Capital iVC GmbH,86
BOOST Thyroid,Ride Cool GmbH,49
Aware The Platform,The Yellow SiC Development GmbH,86
Edgeless Systems,Virtual Trade Systems GmbH,86
KONUX,Yonikorn GmbH,57
BIOFABRIK,Swiftbrick GmbH,60
Xayn,XPANSE Powertrain GmbH,68
Seniovo,Semnio GmbH,66
Diametos GmbH,Htwo Power 'n' Heat GmbH,86
Merantix,PolymerActive GmbH,68
ActiTrexx GmbH,Htwo Power 'n' Heat GmbH,86
Ozank,,60
ADVITOS,KardioSmart GmbH,64
Twostay,SMARTtray GmbH,57
AZOWO,Kakaloo GmbH,57
_blaenk,Pflanzenkraft GmbH,64
insureQ,Inspire Technologies GmbH,64
Optalio,Optalio GmbH,90
deineStudienfinanzierung,,90
vialytics,Liminalytics GmbH,80
biotx.ai,WeSort.AI GmbH,86
Field 33,Sparkfield GmbH,68
The Base,The Future Living INT GmbH,86
Elektron Motors,seatron GmbH,52
CROWDFOX,CREDOXYS GmbH,56
Incari,Destinaries GmbH,75
TWAICE,datadice GmbH,75
Betteries,PrimeSolid Batteries GmbH,80
Labforward,LMV Laboratories GmbH,63
Y42,mobility4.me GmbH,68
Hanko,Leviathan GmbH,64
TEDIRO,Roteriro GmbH,75
Amsis,cura-assistant GmbH,72
GFS,dogs smile GmbH,60
Caspar Health,Health Data Technologies GmbH,86
Grid Esports,brightensport GmbH,60
Urban Sports Club,V.T. Sports and Health GmbH,86
Jina AI,WeSort.AI GmbH,86
NetGO,OneStop Pro Software Solutions GmbH,72
Kamedi GmbH,BCN Food Tech GmbH,86
Laya Technologies,Quantum Enlightenment Technologies AG,86
Emax digital,use2go Digital GmbH,86
German Autolabs,German Organic Brands GmbH,86
Unu motors,Beyond Emotion GmbH,54
Magaloop,valoop GmbH,60
COMPEON,allcompare GmbH,64
Neocom.ai,WeSort.AI GmbH,86
SPREAD,Respeak GmbH,62
Amuzed,Prismamed GmbH,68
Creapaper,Panama Papers Spirits GmbH,60
Prestatech,Deutsch Express Technologies GmbH,72
TOUCH,One Touch GmbH,90
sofatutor,OneStop Pro Software Solutions GmbH,50
kyp.ai,WeSort.AI GmbH,86
NMS PRIME GmbH,Htwo Power 'n' Heat GmbH,86
Lykon,TSN Innovative Textilkonzepte GmbH,72
epap,HBOX Therapies GmbH,68
Forto,Fortunalista GmbH,72
